Date,Ticker,HDFCBANK.NS,HDFCBANK.NS.1,HDFCBANK.NS.2,HDFCBANK.NS.3,HDFCBANK.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,0
1970-01-01 00:00:00.000000001,,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,0
1970-01-01 00:00:00.000000002,,762.9563656942497,762.9563656942497,762.9563656942497,762.9563656942497,762.9563656942497,0
1970-01-01 00:00:00.000000003,,768.9765160320345,768.9765160320345,768.9765160320345,768.9765160320345,768.9765160320345,0
1970-01-01 00:00:00.000000004,,759.5701573140472,759.5701573140472,759.5701573140472,759.5701573140472,759.5701573140472,0
1970-01-01 00:00:00.000000005,,753.4559057369754,753.4559057369754,753.4559057369754,753.4559057369754,753.4559057369754,0
1970-01-01 00:00:00.000000006,,750.633994461561,750.633994461561,750.633994461561,750.633994461561,750.633994461561,0
1970-01-01 00:00:00.000000007,,752.5153270897389,752.5153270897389,752.5153270897389,752.5153270897389,752.5153270897389,0
1970-01-01 00:00:00.000000008,,737.4414262012392,737.4414262012392,737.4414262012392,737.4414262012392,737.4414262012392,0
1970-01-01 00:00:00.000000009,,746.7773690003871,746.7773690003871,746.7773690003871,746.7773690003871,746.7773690003871,0
1970-01-01 00:00:00.000000010,,751.9273605293412,751.9273605293412,751.9273605293412,751.9273605293412,751.9273605293412,0
1970-01-01 00:00:00.000000011,,759.5700421228421,759.5700421228421,759.5700421228421,759.5700421228421,759.5700421228421,0
1970-01-01 00:00:00.000000012,,747.7179717239397,747.7179717239397,747.7179717239397,747.7179717239397,747.7179717239397,0
1970-01-01 00:00:00.000000013,,754.8668639240747,754.8668639240747,754.8668639240747,754.8668639240747,754.8668639240747,0
1970-01-01 00:00:00.000000014,,769.9171946591991,769.9171946591991,769.9171946591991,769.9171946591991,769.9171946591991,0
1970-01-01 00:00:00.000000015,,773.2564813178083,773.2564813178083,773.2564813178083,773.2564813178083,773.2564813178083,0
1970-01-01 00:00:00.000000016,,783.6741184175438,783.6741184175438,783.6741184175438,783.6741184175438,783.6741184175438,0
1970-01-01 00:00:00.000000017,,787.8129673822374,787.8129673822374,787.8129673822374,787.8129673822374,787.8129673822374,0
1970-01-01 00:00:00.000000018,,795.5026900470906,795.5026900470906,795.5026900470906,795.5026900470906,795.5026900470906,0
1970-01-01 00:00:00.000000019,,767.5655439290683,767.5655439290683,767.5655439290683,767.5655439290683,767.5655439290683,0
1970-01-01 00:00:00.000000020,,750.1636100625897,750.1636100625897,750.1636100625897,750.1636100625897,750.1636100625897,0
1970-01-01 00:00:00.000000021,,761.7805708928535,761.7805708928535,761.7805708928535,761.7805708928535,761.7805708928535,0
1970-01-01 00:00:00.000000022,,763.8029900494191,763.8029900494191,763.8029900494191,763.8029900494191,763.8029900494191,0
1970-01-01 00:00:00.000000023,,756.3248499697963,756.3248499697963,756.3248499697963,756.3248499697963,756.3248499697963,0
1970-01-01 00:00:00.000000024,,757.6888104547171,757.6888104547171,757.6888104547171,757.6888104547171,757.6888104547171,0
1970-01-01 00:00:00.000000025,,780.7345879902471,780.7345879902471,780.7345879902471,780.7345879902471,780.7345879902471,0
1970-01-01 00:00:00.000000026,,780.4523617529932,780.4523617529932,780.4523617529932,780.4523617529932,780.4523617529932,0
1970-01-01 00:00:00.000000027,,778.0302392020911,778.0302392020911,778.0302392020911,778.0302392020911,778.0302392020911,0
1970-01-01 00:00:00.000000028,,780.7345592208327,780.7345592208327,780.7345592208327,780.7345592208327,780.7345592208327,0
1970-01-01 00:00:00.000000029,,775.4669671621383,775.4669671621383,775.4669671621383,775.4669671621383,775.4669671621383,0
