Date,Ticker,RELIANCE.NS,RELIANCE.NS.1,RELIANCE.NS.2,RELIANCE.NS.3,RELIANCE.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,1164.066351583663,1164.066351583663,1164.066351583663,1164.066351583663,1164.066351583663,0
1970-01-01 00:00:00.000000001,,1164.066351583663,1164.066351583663,1164.066351583663,1164.066351583663,1164.066351583663,0
1970-01-01 00:00:00.000000002,,1170.9366586985077,1170.9366586985077,1170.9366586985077,1170.9366586985077,1170.9366586985077,0
1970-01-01 00:00:00.000000003,,1167.26185070999,1167.26185070999,1167.26185070999,1167.26185070999,1167.26185070999,0
1970-01-01 00:00:00.000000004,,1151.969076089896,1151.969076089896,1151.969076089896,1151.969076089896,1151.969076089896,0
1970-01-01 00:00:00.000000005,,1153.4072395784428,1153.4072395784428,1153.4072395784428,1153.4072395784428,1153.4072395784428,0
1970-01-01 00:00:00.000000006,,1161.9207528429104,1161.9207528429104,1161.9207528429104,1161.9207528429104,1161.9207528429104,0
1970-01-01 00:00:00.000000007,,1189.6302560157692,1189.6302560157692,1189.6302560157692,1189.6302560157692,1189.6302560157692,0
1970-01-01 00:00:00.000000008,,1165.207642347734,1165.207642347734,1165.207642347734,1165.207642347734,1165.207642347734,0
1970-01-01 00:00:00.000000009,,1152.5855061360771,1152.5855061360771,1152.5855061360771,1152.5855061360771,1152.5855061360771,0
1970-01-01 00:00:00.000000010,,1122.2512303793665,1122.2512303793665,1122.2512303793665,1122.2512303793665,1122.2512303793665,0
1970-01-01 00:00:00.000000011,,1128.77902581248,1128.77902581248,1128.77902581248,1128.77902581248,1128.77902581248,0
1970-01-01 00:00:00.000000012,,1122.0686670526488,1122.0686670526488,1122.0686670526488,1122.0686670526488,1122.0686670526488,0
1970-01-01 00:00:00.000000013,,1129.144430635729,1129.144430635729,1129.144430635729,1129.144430635729,1129.144430635729,0
1970-01-01 00:00:00.000000014,,1128.8703817084497,1128.8703817084497,1128.8703817084497,1128.8703817084497,1128.8703817084497,0
1970-01-01 00:00:00.000000015,,1129.8291140692525,1129.8291140692525,1129.8291140692525,1129.8291140692525,1129.8291140692525,0
1970-01-01 00:00:00.000000016,,1117.960272105855,1117.960272105855,1117.960272105855,1117.960272105855,1117.960272105855,0
1970-01-01 00:00:00.000000017,,1113.851719292168,1113.851719292168,1113.851719292168,1113.851719292168,1113.851719292168,0
1970-01-01 00:00:00.000000018,,1101.275205877952,1101.275205877952,1101.275205877952,1101.275205877952,1101.275205877952,0
1970-01-01 00:00:00.000000019,,1088.4706538388857,1088.4706538388857,1088.4706538388857,1088.4706538388857,1088.4706538388857,0
1970-01-01 00:00:00.000000020,,1064.4132886312711,1064.4132886312711,1064.4132886312711,1064.4132886312711,1064.4132886312711,0
