Date,Ticker,TCS.NS,TCS.NS.1,TCS.NS.2,TCS.NS.3,TCS.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,0
1970-01-01 00:00:00.000000001,,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,3120.9746428953467,0
1970-01-01 00:00:00.000000002,,3112.360480090008,3112.360480090008,3112.360480090008,3112.360480090008,3112.360480090008,0
1970-01-01 00:00:00.000000003,,3164.711485133984,3164.711485133984,3164.711485133984,3164.711485133984,3164.711485133984,0
1970-01-01 00:00:00.000000004,,3187.2023198494617,3187.2023198494617,3187.2023198494617,3187.2023198494617,3187.2023198494617,0
1970-01-01 00:00:00.000000005,,3158.2994089707186,3158.2994089707186,3158.2994089707186,3158.2994089707186,3158.2994089707186,0
1970-01-01 00:00:00.000000006,,3090.3484577543945,3090.3484577543945,3090.3484577543945,3090.3484577543945,3090.3484577543945,0
1970-01-01 00:00:00.000000007,,3143.943167992141,3143.943167992141,3143.943167992141,3143.943167992141,3143.943167992141,0
1970-01-01 00:00:00.000000008,,3148.824455165407,3148.824455165407,3148.824455165407,3148.824455165407,3148.824455165407,0
1970-01-01 00:00:00.000000009,,3186.053949998748,3186.053949998748,3186.053949998748,3186.053949998748,3186.053949998748,0
1970-01-01 00:00:00.000000010,,3199.357091750638,3199.357091750638,3199.357091750638,3199.357091750638,3199.357091750638,0
1970-01-01 00:00:00.000000011,,3182.113266881313,3182.113266881313,3182.113266881313,3182.113266881313,3182.113266881313,0
1970-01-01 00:00:00.000000012,,3194.584409542297,3194.584409542297,3194.584409542297,3194.584409542297,3194.584409542297,0
1970-01-01 00:00:00.000000013,,3242.551184550148,3242.551184550148,3242.551184550148,3242.551184550148,3242.551184550148,0
1970-01-01 00:00:00.000000014,,3242.551689615784,3242.551689615784,3242.551689615784,3242.551689615784,3242.551689615784,0
1970-01-01 00:00:00.000000015,,3228.161509570274,3228.161509570274,3228.161509570274,3228.161509570274,3228.161509570274,0
1970-01-01 00:00:00.000000016,,3250.225730387927,3250.225730387927,3250.225730387927,3250.225730387927,3250.225730387927,0
1970-01-01 00:00:00.000000017,,3285.7214823214213,3285.7214823214213,3285.7214823214213,3285.7214823214213,3285.7214823214213,0
1970-01-01 00:00:00.000000018,,3286.0095713913324,3286.0095713913324,3286.0095713913324,3286.0095713913324,3286.0095713913324,0
1970-01-01 00:00:00.000000019,,3286.6811201617334,3286.6811201617334,3286.6811201617334,3286.6811201617334,3286.6811201617334,0
1970-01-01 00:00:00.000000020,,3280.9249493217903,3280.9249493217903,3280.9249493217903,3280.9249493217903,3280.9249493217903,0
1970-01-01 00:00:00.000000021,,3308.7454024736803,3308.7454024736803,3308.7454024736803,3308.7454024736803,3308.7454024736803,0
1970-01-01 00:00:00.000000022,,3226.2428534958594,3226.2428534958594,3226.2428534958594,3226.2428534958594,3226.2428534958594,0
1970-01-01 00:00:00.000000023,,3287.639955924305,3287.639955924305,3287.639955924305,3287.639955924305,3287.639955924305,0
1970-01-01 00:00:00.000000024,,3361.508677568011,3361.508677568011,3361.508677568011,3361.508677568011,3361.508677568011,0
1970-01-01 00:00:00.000000025,,3331.913416084789,3331.913416084789,3331.913416084789,3331.913416084789,3331.913416084789,0
1970-01-01 00:00:00.000000026,,3327.8366660724405,3327.8366660724405,3327.8366660724405,3327.8366660724405,3327.8366660724405,0
1970-01-01 00:00:00.000000027,,3336.6142726405114,3336.6142726405114,3336.6142726405114,3336.6142726405114,3336.6142726405114,0
1970-01-01 00:00:00.000000028,,3372.0619407057225,3372.0619407057225,3372.0619407057225,3372.0619407057225,3372.0619407057225,0
1970-01-01 00:00:00.000000029,,3376.858694785748,3376.858694785748,3376.858694785748,3376.858694785748,3376.858694785748,0
1970-01-01 00:00:00.000000030,,3404.6788949173124,3404.6788949173124,3404.6788949173124,3404.6788949173124,3404.6788949173124,0
1970-01-01 00:00:00.000000031,,3362.468224611322,3362.468224611322,3362.468224611322,3362.468224611322,3362.468224611322,0
1970-01-01 00:00:00.000000032,,3345.200411606133,3345.200411606133,3345.200411606133,3345.200411606133,3345.200411606133,0
1970-01-01 00:00:00.000000033,,3383.7652709787526,3383.7652709787526,3383.7652709787526,3383.7652709787526,3383.7652709787526,0
1970-01-01 00:00:00.000000034,,3382.7585179492467,3382.7585179492467,3382.7585179492467,3382.7585179492467,3382.7585179492467,0
1970-01-01 00:00:00.000000035,,3359.590210740269,3359.590210740269,3359.590210740269,3359.590210740269,3359.590210740269,0
1970-01-01 00:00:00.000000036,,3351.91545475949,3351.91545475949,3351.91545475949,3351.91545475949,3351.91545475949,0
1970-01-01 00:00:00.000000037,,3276.080089353148,3276.080089353148,3276.080089353148,3276.080089353148,3276.080089353148,0
1970-01-01 00:00:00.000000038,,3281.884214211261,3281.884214211261,3281.884214211261,3281.884214211261,3281.884214211261,0
1970-01-01 00:00:00.000000039,,3283.3230549969585,3283.3230549969585,3283.3230549969585,3283.3230549969585,3283.3230549969585,0
1970-01-01 00:00:00.000000040,,3252.144593441408,3252.144593441408,3252.144593441408,3252.144593441408,3252.144593441408,0
1970-01-01 00:00:00.000000041,,3193.145574568549,3193.145574568549,3193.145574568549,3193.145574568549,3193.145574568549,0
1970-01-01 00:00:00.000000042,,3187.869290841312,3187.869290841312,3187.869290841312,3187.869290841312,3187.869290841312,0
1970-01-01 00:00:00.000000043,,3224.324307062749,3224.324307062749,3224.324307062749,3224.324307062749,3224.324307062749,0
1970-01-01 00:00:00.000000044,,3217.608688766514,3217.608688766514,3217.608688766514,3217.608688766514,3217.608688766514,0
