Date,Ticker,AXISBANK.NS,AXISBANK.NS.1,AXISBANK.NS.2,AXISBANK.NS.3,AXISBANK.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,0
1970-01-01 00:00:00.000000001,,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,0
1970-01-01 00:00:00.000000002,,942.2538282071222,942.2538282071222,942.2538282071222,942.2538282071222,942.2538282071222,0
1970-01-01 00:00:00.000000003,,960.9542909190052,960.9542909190052,960.9542909190052,960.9542909190052,960.9542909190052,0
1970-01-01 00:00:00.000000004,,957.4635394400372,957.4635394400372,957.4635394400372,957.4635394400372,957.4635394400372,0
1970-01-01 00:00:00.000000005,,944.0490803274756,944.0490803274756,944.0490803274756,944.0490803274756,944.0490803274756,0
1970-01-01 00:00:00.000000006,,944.2984191882836,944.2984191882836,944.2984191882836,944.2984191882836,944.2984191882836,0
1970-01-01 00:00:00.000000007,,961.4529432194536,961.4529432194536,961.4529432194536,961.4529432194536,961.4529432194536,0
1970-01-01 00:00:00.000000008,,950.4820135387192,950.4820135387192,950.4820135387192,950.4820135387192,950.4820135387192,0
1970-01-01 00:00:00.000000009,,946.8416511641792,946.8416511641792,946.8416511641792,946.8416511641792,946.8416511641792,0
1970-01-01 00:00:00.000000010,,933.0282324261028,933.0282324261028,933.0282324261028,933.0282324261028,933.0282324261028,0
1970-01-01 00:00:00.000000011,,937.9651606102152,937.9651606102152,937.9651606102152,937.9651606102152,937.9651606102152,0
1970-01-01 00:00:00.000000012,,912.532534594739,912.532534594739,912.532534594739,912.532534594739,912.532534594739,0
1970-01-01 00:00:00.000000013,,919.4641667501236,919.4641667501236,919.4641667501236,919.4641667501236,919.4641667501236,0
1970-01-01 00:00:00.000000014,,921.159654434783,921.159654434783,921.159654434783,921.159654434783,921.159654434783,0
1970-01-01 00:00:00.000000015,,928.7894712435568,928.7894712435568,928.7894712435568,928.7894712435568,928.7894712435568,0
