Date,Ticker,ICICIBANK.NS,ICICIBANK.NS.1,ICICIBANK.NS.2,ICICIBANK.NS.3,ICICIBANK.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,872.4014740958874,872.4014740958874,872.4014740958874,872.4014740958874,872.4014740958874,0
1970-01-01 00:00:00.000000001,,872.4014740958874,872.4014740958874,872.4014740958874,872.4014740958874,872.4014740958874,0
1970-01-01 00:00:00.000000002,,876.7927916486487,876.7927916486487,876.7927916486487,876.7927916486487,876.7927916486487,0
1970-01-01 00:00:00.000000003,,877.2806746302692,877.2806746302692,877.2806746302692,877.2806746302692,877.2806746302692,0
1970-01-01 00:00:00.000000004,,879.1348111478047,879.1348111478047,879.1348111478047,879.1348111478047,879.1348111478047,0
1970-01-01 00:00:00.000000005,,857.7150822158359,857.7150822158359,857.7150822158359,857.7150822158359,857.7150822158359,0
1970-01-01 00:00:00.000000006,,853.1285854792023,853.1285854792023,853.1285854792023,853.1285854792023,853.1285854792023,0
1970-01-01 00:00:00.000000007,,854.2508913830072,854.2508913830072,854.2508913830072,854.2508913830072,854.2508913830072,0
1970-01-01 00:00:00.000000008,,842.0528443311998,842.0528443311998,842.0528443311998,842.0528443311998,842.0528443311998,0
1970-01-01 00:00:00.000000009,,844.5899804905931,844.5899804905931,844.5899804905931,844.5899804905931,844.5899804905931,0
1970-01-01 00:00:00.000000010,,843.8093564017448,843.8093564017448,843.8093564017448,843.8093564017448,843.8093564017448,0
1970-01-01 00:00:00.000000011,,856.0561563998281,856.0561563998281,856.0561563998281,856.0561563998281,856.0561563998281,0
1970-01-01 00:00:00.000000012,,846.0050363579256,846.0050363579256,846.0050363579256,846.0050363579256,846.0050363579256,0
1970-01-01 00:00:00.000000013,,843.5654250474721,843.5654250474721,843.5654250474721,843.5654250474721,843.5654250474721,0
1970-01-01 00:00:00.000000014,,847.029646532359,847.029646532359,847.029646532359,847.029646532359,847.029646532359,0
1970-01-01 00:00:00.000000015,,852.3967365563113,852.3967365563113,852.3967365563113,852.3967365563113,852.3967365563113,0
