Date,Ticker,INFY.NS,INFY.NS.1,INFY.NS.2,INFY.NS.3,INFY.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,0
1970-01-01 00:00:00.000000001,,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,1417.846763951259,0
1970-01-01 00:00:00.000000002,,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,1423.32528849572,0
1970-01-01 00:00:00.000000003,,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,1424.4020950067627,0
1970-01-01 00:00:00.000000004,,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,1410.2611937869729,0
1970-01-01 00:00:00.000000005,,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,1376.6411390689725,0
1970-01-01 00:00:00.000000006,,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,1356.2255576840662,0
1970-01-01 00:00:00.000000007,,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,1387.8791147184363,0
1970-01-01 00:00:00.000000008,,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,1376.6410323850362,0
1970-01-01 00:00:00.000000009,,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,1387.8321104596064,0
1970-01-01 00:00:00.000000010,,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,1389.2837450958568,0
1970-01-01 00:00:00.000000011,,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,1414.100850323152,0
1970-01-01 00:00:00.000000012,,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,1430.021162290161,0
1970-01-01 00:00:00.000000013,,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,1446.6439437557135,0
1970-01-01 00:00:00.000000014,,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,1442.102018021819,0
1970-01-01 00:00:00.000000015,,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,1440.3224696586608,0
1970-01-01 00:00:00.000000016,,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,1437.513121770026,0
1970-01-01 00:00:00.000000017,,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,1460.9253950530808,0
1970-01-01 00:00:00.000000018,,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,1448.7508449195966,0
1970-01-01 00:00:00.000000019,,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,1447.81455099958,0
1970-01-01 00:00:00.000000020,,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,0
1970-01-01 00:00:00.000000021,,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,0
1970-01-01 00:00:00.000000022,,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,0
1970-01-01 00:00:00.000000023,,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,0
1970-01-01 00:00:00.000000024,,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,0
1970-01-01 00:00:00.000000025,,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,0
1970-01-01 00:00:00.000000026,,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,0
1970-01-01 00:00:00.000000027,,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,0
1970-01-01 00:00:00.000000028,,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,0
1970-01-01 00:00:00.000000029,,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,0
1970-01-01 00:00:00.000000030,,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,0
1970-01-01 00:00:00.000000031,,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,0
1970-01-01 00:00:00.000000032,,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,0
1970-01-01 00:00:00.000000033,,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,0
1970-01-01 00:00:00.000000034,,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,0
1970-01-01 00:00:00.000000035,,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,0
1970-01-01 00:00:00.000000036,,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,0
1970-01-01 00:00:00.000000037,,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,0
1970-01-01 00:00:00.000000038,,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,0
1970-01-01 00:00:00.000000039,,1460.9253538063083,1460.9253538063083,1460.9253538063083,1460.9253538063083,1460.9253538063083,0
1970-01-01 00:00:00.000000040,,1442.1955282782062,1442.1955282782062,1442.1955282782062,1442.1955282782062,1442.1955282782062,0
1970-01-01 00:00:00.000000041,,1419.345153317999,1419.345153317999,1419.345153317999,1419.345153317999,1419.345153317999,0
