Date,Ticker,LT.NS,LT.NS.1,LT.NS.2,LT.NS.3,LT.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,0
1970-01-01 00:00:00.000000001,,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,2038.8716327732905,0
1970-01-01 00:00:00.000000002,,2034.0982534703217,2034.0982534703217,2034.0982534703217,2034.0982534703217,2034.0982534703217,0
1970-01-01 00:00:00.000000003,,2036.972156582768,2036.972156582768,2036.972156582768,2036.972156582768,2036.972156582768,0
1970-01-01 00:00:00.000000004,,2026.304854881748,2026.304854881748,2026.304854881748,2026.304854881748,2026.304854881748,0
1970-01-01 00:00:00.000000005,,2036.241471185819,2036.241471185819,2036.241471185819,2036.241471185819,2036.241471185819,0
1970-01-01 00:00:00.000000006,,2053.5819360097707,2053.5819360097707,2053.5819360097707,2053.5819360097707,2053.5819360097707,0
1970-01-01 00:00:00.000000007,,2076.8650182786214,2076.8650182786214,2076.8650182786214,2076.8650182786214,2076.8650182786214,0
1970-01-01 00:00:00.000000008,,2051.731070098705,2051.731070098705,2051.731070098705,2051.731070098705,2051.731070098705,0
1970-01-01 00:00:00.000000009,,2063.421143431398,2063.421143431398,2063.421143431398,2063.421143431398,2063.421143431398,0
1970-01-01 00:00:00.000000010,,2106.0903866791405,2106.0903866791405,2106.0903866791405,2106.0903866791405,2106.0903866791405,0
1970-01-01 00:00:00.000000011,,2091.5751364723506,2091.5751364723506,2091.5751364723506,2091.5751364723506,2091.5751364723506,0
1970-01-01 00:00:00.000000012,,2084.658459372712,2084.658459372712,2084.658459372712,2084.658459372712,2084.658459372712,0
1970-01-01 00:00:00.000000013,,2163.6648182426097,2163.6648182426097,2163.6648182426097,2163.6648182426097,2163.6648182426097,0
1970-01-01 00:00:00.000000014,,2201.5122139065384,2201.5122139065384,2201.5122139065384,2201.5122139065384,2201.5122139065384,0
1970-01-01 00:00:00.000000015,,2223.528443251669,2223.528443251669,2223.528443251669,2223.528443251669,2223.528443251669,0
1970-01-01 00:00:00.000000016,,2196.7872635000417,2196.7872635000417,2196.7872635000417,2196.7872635000417,2196.7872635000417,0
1970-01-01 00:00:00.000000017,,2186.7530628447626,2186.7530628447626,2186.7530628447626,2186.7530628447626,2186.7530628447626,0
1970-01-01 00:00:00.000000018,,2144.1811715000645,2144.1811715000645,2144.1811715000645,2144.1811715000645,2144.1811715000645,0
