Date,Ticker,HINDUNILVR.NS,HINDUNILVR.NS.1,HINDUNILVR.NS.2,HINDUNILVR.NS.3,HINDUNILVR.NS.4,SentimentScore
1970-01-01 00:00:00.000000000,,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,0
1970-01-01 00:00:00.000000001,,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,0
1970-01-01 00:00:00.000000002,,2442.324887138332,2442.324887138332,2442.324887138332,2442.324887138332,2442.324887138332,0
1970-01-01 00:00:00.000000003,,2442.75594419489,2442.75594419489,2442.75594419489,2442.75594419489,2442.75594419489,0
1970-01-01 00:00:00.000000004,,2430.352893001794,2430.352893001794,2430.352893001794,2430.352893001794,2430.352893001794,0
1970-01-01 00:00:00.000000005,,2471.009454153878,2471.009454153878,2471.009454153878,2471.009454153878,2471.009454153878,0
1970-01-01 00:00:00.000000006,,2479.964897483789,2479.964897483789,2479.964897483789,2479.964897483789,2479.964897483789,0
1970-01-01 00:00:00.000000007,,2513.1987449945536,2513.1987449945536,2513.1987449945536,2513.1987449945536,2513.1987449945536,0
1970-01-01 00:00:00.000000008,,2532.306052597489,2532.306052597489,2532.306052597489,2532.306052597489,2532.306052597489,0
1970-01-01 00:00:00.000000009,,2476.8521655707195,2476.8521655707195,2476.8521655707195,2476.8521655707195,2476.8521655707195,0
1970-01-01 00:00:00.000000010,,2480.7789314800148,2480.7789314800148,2480.7789314800148,2480.7789314800148,2480.7789314800148,0
1970-01-01 00:00:00.000000011,,2516.9343216078087,2516.9343216078087,2516.9343216078087,2516.9343216078087,2516.9343216078087,0
1970-01-01 00:00:00.000000012,,2495.384842595419,2495.384842595419,2495.384842595419,2495.384842595419,2495.384842595419,0
1970-01-01 00:00:00.000000013,,2555.2920387087684,2555.2920387087684,2555.2920387087684,2555.2920387087684,2555.2920387087684,0
1970-01-01 00:00:00.000000014,,2557.303408941623,2557.303408941623,2557.303408941623,2557.303408941623,2557.303408941623,0
1970-01-01 00:00:00.000000015,,2442.2772728666014,2442.2772728666014,2442.2772728666014,2442.2772728666014,2442.2772728666014,0
1970-01-01 00:00:00.000000016,,2451.8545830530443,2451.8545830530443,2451.8545830530443,2451.8545830530443,2451.8545830530443,0
1970-01-01 00:00:00.000000017,,2493.9956994448185,2493.9956994448185,2493.9956994448185,2493.9956994448185,2493.9956994448185,0
1970-01-01 00:00:00.000000018,,2490.6439869172245,2490.6439869172245,2490.6439869172245,2490.6439869172245,2490.6439869172245,0
1970-01-01 00:00:00.000000019,,2524.165203293354,2524.165203293354,2524.165203293354,2524.165203293354,2524.165203293354,0
1970-01-01 00:00:00.000000020,,2499.742324991905,2499.742324991905,2499.742324991905,2499.742324991905,2499.742324991905,0
1970-01-01 00:00:00.000000021,,2459.516610374017,2459.516610374017,2459.516610374017,2459.516610374017,2459.516610374017,0
1970-01-01 00:00:00.000000022,,2490.356399950708,2490.356399950708,2490.356399950708,2490.356399950708,2490.356399950708,0
1970-01-01 00:00:00.000000023,,2460.953295465138,2460.953295465138,2460.953295465138,2460.953295465138,2460.953295465138,0
1970-01-01 00:00:00.000000024,,2528.4751061821617,2528.4751061821617,2528.4751061821617,2528.4751061821617,2528.4751061821617,0
1970-01-01 00:00:00.000000025,,2519.8554760862344,2519.8554760862344,2519.8554760862344,2519.8554760862344,2519.8554760862344,0
1970-01-01 00:00:00.000000026,,2533.263709328862,2533.263709328862,2533.263709328862,2533.263709328862,2533.263709328862,0
1970-01-01 00:00:00.000000027,,2483.173093909701,2483.173093909701,2483.173093909701,2483.173093909701,2483.173093909701,0
1970-01-01 00:00:00.000000028,,2477.713887134675,2477.713887134675,2477.713887134675,2477.713887134675,2477.713887134675,0
1970-01-01 00:00:00.000000029,,2475.798401885306,2475.798401885306,2475.798401885306,2475.798401885306,2475.798401885306,0
1970-01-01 00:00:00.000000030,,2451.854659046881,2451.854659046881,2451.854659046881,2451.854659046881,2451.854659046881,0
1970-01-01 00:00:00.000000031,,2475.798496258107,2475.798496258107,2475.798496258107,2475.798496258107,2475.798496258107,0
1970-01-01 00:00:00.000000032,,2442.276804288299,2442.276804288299,2442.276804288299,2442.276804288299,2442.276804288299,0
1970-01-01 00:00:00.000000033,,2451.854550892754,2451.854550892754,2451.854550892754,2451.854550892754,2451.854550892754,0
1970-01-01 00:00:00.000000034,,2418.3332988789816,2418.3332988789816,2418.3332988789816,2418.3332988789816,2418.3332988789816,0
1970-01-01 00:00:00.000000035,,2411.628815253265,2411.628815253265,2411.628815253265,2411.628815253265,2411.628815253265,0
1970-01-01 00:00:00.000000036,,2421.2066775663075,2421.2066775663075,2421.2066775663075,2421.2066775663075,2421.2066775663075,0
1970-01-01 00:00:00.000000037,,2409.8569347099165,2409.8569347099165,2409.8569347099165,2409.8569347099165,2409.8569347099165,0
1970-01-01 00:00:00.000000038,,2386.727145725292,2386.727145725292,2386.727145725292,2386.727145725292,2386.727145725292,0
1970-01-01 00:00:00.000000039,,2386.918882093857,2386.918882093857,2386.918882093857,2386.918882093857,2386.918882093857,0
1970-01-01 00:00:00.000000040,,2381.9385550799434,2381.9385550799434,2381.9385550799434,2381.9385550799434,2381.9385550799434,0
1970-01-01 00:00:00.000000041,,2365.4173312615303,2365.4173312615303,2365.4173312615303,2365.4173312615303,2365.4173312615303,0
1970-01-01 00:00:00.000000042,,2354.163700384883,2354.163700384883,2354.163700384883,2354.163700384883,2354.163700384883,0
