Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,836.0514981986004,836.0514981986004,836.0514981986004,836.0514981986004,836.0514981986004,2023-03-03,0,0,0,0,0,0
,850.6890067647562,850.6890067647562,850.6890067647562,850.6890067647562,850.6890067647562,2023-03-06,0,0,0,0,0,0
,845.7122948969003,845.7122948969003,845.7122948969003,845.7122948969003,845.7122948969003,2023-03-08,0,0,0,0,0,0
,846.2490202575223,846.2490202575223,846.2490202575223,846.2490202575223,846.2490202575223,2023-03-09,0,0,0,0,0,0
,824.2925755972103,824.2925755972103,824.2925755972103,824.2925755972103,824.2925755972103,2023-03-10,0,0,0,0,0,0
,821.1210600737454,821.1210600737454,821.1210600737454,821.1210600737454,821.1210600737454,2023-03-13,0,0,0,0,0,0
,807.0202033098866,807.0202033098866,807.0202033098866,807.0202033098866,807.0202033098866,2023-03-14,0,0,0,0,0,0
,816.2418837869195,816.2418837869195,816.2418837869195,816.2418837869195,816.2418837869195,2023-03-15,0,0,0,0,0,0
,809.6549809174596,809.6549809174596,809.6549809174596,809.6549809174596,809.6549809174596,2023-03-16,0,0,0,0,0,0
,811.7041286544949,811.7041286544949,811.7041286544949,811.7041286544949,811.7041286544949,2023-03-17,0,0,0,0,0,0
,816.778643817747,816.778643817747,816.778643817747,816.778643817747,816.778643817747,2023-03-20,0,0,0,0,0,0
,822.6336538132437,822.6336538132437,822.6336538132437,822.6336538132437,822.6336538132437,2023-03-21,0,0,0,0,0,0
,836.9297092178792,836.9297092178792,836.9297092178792,836.9297092178792,836.9297092178792,2023-03-22,0,0,0,0,0,0
,836.2953779024698,836.2953779024698,836.2953779024698,836.2953779024698,836.2953779024698,2023-03-23,0,0,0,0,0,0
,831.9041398289326,831.9041398289326,831.9041398289326,831.9041398289326,831.9041398289326,2023-03-24,0,0,0,0,0,0
,834.2948650706796,834.2948650706796,834.2948650706796,834.2948650706796,834.2948650706796,2023-03-27,0,0,0,0,0,0
,834.8803919931624,834.8803919931624,834.8803919931624,834.8803919931624,834.8803919931624,2023-03-28,0,0,0,0,0,0
,836.344192498566,836.344192498566,836.344192498566,836.344192498566,836.344192498566,2023-03-29,0,0,0,0,0,0
,841.1258033201476,841.1258033201476,841.1258033201476,841.1258033201476,841.1258033201476,2023-03-31,0,0,0,0,0,0
,858.9348737808818,858.9348737808818,858.9348737808818,858.9348737808818,858.9348737808818,2023-04-03,0,0,0,0,0,0
,865.1802578730985,865.1802578730985,865.1802578730985,865.1802578730985,865.1802578730985,2023-04-05,0,0,0,0,0,0
,860.6914189453125,860.6914189453125,860.6914189453125,860.6914189453125,860.6914189453125,2023-04-06,0,0,0,0,0,0
,858.7885385723444,858.7885385723444,858.7885385723444,858.7885385723444,858.7885385723444,2023-04-10,0,0,0,0,0,0
,852.5919670233527,852.5919670233527,852.5919670233527,852.5919670233527,852.5919670233527,2023-04-11,0,0,0,0,0,0
,862.1063873379366,862.1063873379366,862.1063873379366,862.1063873379366,862.1063873379366,2023-04-12,0,0,0,0,0,0
,869.571475609275,869.571475609275,869.571475609275,869.571475609275,869.571475609275,2023-04-13,0,0,0,0,0,0
,895.1385344204618,895.1385344204618,895.1385344204618,895.1385344204618,895.1385344204618,2023-04-17,0,0,0,0,0,0
,886.0144835702572,886.0144835702572,886.0144835702572,886.0144835702572,886.0144835702572,2023-04-18,0,0,0,0,0,0
,874.2555961921902,874.2555961921902,874.2555961921902,874.2555961921902,874.2555961921902,2023-04-19,0,0,0,0,0,0
,870.6938498585696,870.6938498585696,870.6938498585696,870.6938498585696,870.6938498585696,2023-04-20,0,0,0,0,0,0
,872.9381803026192,872.9381803026192,872.9381803026192,872.9381803026192,872.9381803026192,2023-04-21,0,0,0,0,0,0
,883.135744818471,883.135744818471,883.135744818471,883.135744818471,883.135744818471,2023-04-24,0,0,0,0,0,0
,884.4043078093315,884.4043078093315,884.4043078093315,884.4043078093315,884.4043078093315,2023-04-25,0,0,0,0,0,0
,889.4298949363513,889.4298949363513,889.4298949363513,889.4298949363513,889.4298949363513,2023-04-26,0,0,0,0,0,0
,887.5269819129636,887.5269819129636,887.5269819129636,887.5269819129636,887.5269819129636,2023-04-27,0,0,0,0,0,0
,892.9916614936355,892.9916614936355,892.9916614936355,892.9916614936355,892.9916614936355,2023-04-28,0,0,0,0,0,0
,901.6766917183744,901.6766917183744,901.6766917183744,901.6766917183744,901.6766917183744,2023-05-02,0,0,0,0,0,0
,897.3342422175527,897.3342422175527,897.3342422175527,897.3342422175527,897.3342422175527,2023-05-03,0,0,0,0,0,0
,897.773371044411,897.773371044411,897.773371044411,897.773371044411,897.773371044411,2023-05-04,0,0,0,0,0,0
,902.6525798225856,902.6525798225856,902.6525798225856,902.6525798225856,902.6525798225856,2023-05-05,0,0,0,0,0,0
,904.6042195927596,904.6042195927596,904.6042195927596,904.6042195927596,904.6042195927596,2023-05-08,0,0,0,0,0,0
,918.2660247654844,918.2660247654844,918.2660247654844,918.2660247654844,918.2660247654844,2023-05-09,0,0,0,0,0,0
,912.0205661468576,912.0205661468576,912.0205661468576,912.0205661468576,912.0205661468576,2023-05-10,0,0,0,0,0,0
,917.3389621864789,917.3389621864789,917.3389621864789,917.3389621864789,917.3389621864789,2023-05-11,0,0,0,0,0,0
,917.0461850344828,917.0461850344828,917.0461850344828,917.0461850344828,917.0461850344828,2023-05-12,0,0,0,0,0,0
,920.9496248282046,920.9496248282046,920.9496248282046,920.9496248282046,920.9496248282046,2023-05-15,0,0,0,0,0,0
,927.048597490951,927.048597490951,927.048597490951,927.048597490951,927.048597490951,2023-05-16,0,0,0,0,0,0
,924.4137672580238,924.4137672580238,924.4137672580238,924.4137672580238,924.4137672580238,2023-05-17,0,0,0,0,0,0
,925.0480984422348,925.0480984422348,925.0480984422348,925.0480984422348,925.0480984422348,2023-05-18,0,0,0,0,0,0
,928.4635680040532,928.4635680040532,928.4635680040532,928.4635680040532,928.4635680040532,2023-05-19,0,0,0,0,0,0
,928.0731149247672,928.0731149247672,928.0731149247672,928.0731149247672,928.0731149247672,2023-05-22,0,0,0,0,0,0
,929.0002544091722,929.0002544091722,929.0002544091722,929.0002544091722,929.0002544091722,2023-05-23,0,0,0,0,0,0
,923.828323327991,923.828323327991,923.828323327991,923.828323327991,923.828323327991,2023-05-24,0,0,0,0,0,0
,914.3626768370068,914.3626768370068,914.3626768370068,914.3626768370068,914.3626768370068,2023-05-25,0,0,0,0,0,0
,917.094942534292,917.094942534292,917.094942534292,917.094942534292,917.094942534292,2023-05-26,0,0,0,0,0,0
,930.8055298888272,930.8055298888272,930.8055298888272,930.8055298888272,930.8055298888272,2023-05-29,0,0,0,0,0,0
,922.5109142673764,922.5109142673764,922.5109142673764,922.5109142673764,922.5109142673764,2023-05-30,0,0,0,0,0,0
,926.5606365918726,926.5606365918726,926.5606365918726,926.5606365918726,926.5606365918726,2023-05-31,0,0,0,0,0,0
,931.1958437509088,931.1958437509088,931.1958437509088,931.1958437509088,931.1958437509088,2023-06-01,0,0,0,0,0,0
,920.2176049158624,920.2176049158624,920.2176049158624,920.2176049158624,920.2176049158624,2023-06-02,0,0,0,0,0,0
,920.2176729962288,920.2176729962288,920.2176729962288,920.2176729962288,920.2176729962288,2023-06-05,0,0,0,0,0,0
,923.6331390198328,923.6331390198328,923.6331390198328,923.6331390198328,923.6331390198328,2023-06-06,0,0,0,0,0,0
,921.5350543493884,921.5350543493884,921.5350543493884,921.5350543493884,921.5350543493884,2023-06-07,0,0,0,0,0,0
,913.9722653565424,913.9722653565424,913.9722653565424,913.9722653565424,913.9722653565424,2023-06-08,0,0,0,0,0,0
,918.6563698311433,918.6563698311433,918.6563698311433,918.6563698311433,918.6563698311433,2023-06-09,0,0,0,0,0,0
,915.3384739939504,915.3384739939504,915.3384739939504,915.3384739939504,915.3384739939504,2023-06-12,0,0,0,0,0,0
,913.2891890698932,913.2891890698932,913.2891890698932,913.2891890698932,913.2891890698932,2023-06-13,0,0,0,0,0,0
,923.1940358059712,923.1940358059712,923.1940358059712,923.1940358059712,923.1940358059712,2023-06-14,0,0,0,0,0,0
,917.9732552476846,917.9732552476846,917.9732552476846,917.9732552476846,917.9732552476846,2023-06-15,0,0,0,0,0,0
,906.848667243868,906.848667243868,906.848667243868,906.848667243868,906.848667243868,2023-06-16,0,0,0,0,0,0
,910.9472166078564,910.9472166078564,910.9472166078564,910.9472166078564,910.9472166078564,2023-06-19,0,0,0,0,0,0
,898.7004270111945,898.7004270111945,898.7004270111945,898.7004270111945,898.7004270111945,2023-06-20,0,0,0,0,0,0
,905.580064269418,905.580064269418,905.580064269418,905.580064269418,905.580064269418,2023-06-21,0,0,0,0,0,0
,902.0670994269972,902.0670994269972,902.0670994269972,902.0670994269972,902.0670994269972,2023-06-22,0,0,0,0,0,0
,903.6771633220312,903.6771633220312,903.6771633220312,903.6771633220312,903.6771633220312,2023-06-23,0,0,0,0,0,0
,904.7017550302204,904.7017550302204,904.7017550302204,904.7017550302204,904.7017550302204,2023-06-26,0,0,0,0,0,0
,907.531710441022,907.531710441022,907.531710441022,907.531710441022,907.531710441022,2023-06-27,0,0,0,0,0,0
,921.1935016587148,921.1935016587148,921.1935016587148,921.1935016587148,921.1935016587148,2023-06-28,0,0,0,0,0,0
,917.7780520093212,917.7780520093212,917.7780520093212,917.7780520093212,917.7780520093212,2023-06-30,0,0,0,0,0,0
,914.36260024857,914.36260024857,914.36260024857,914.36260024857,914.36260024857,2023-07-03,0,0,0,0,0,0
,924.3650296243724,924.3650296243724,924.3650296243724,924.3650296243724,924.3650296243724,2023-07-04,0,0,0,0,0,0
,919.2906163148466,919.2906163148466,919.2906163148466,919.2906163148466,919.2906163148466,2023-07-05,0,0,0,0,0,0
,931.6350338444386,931.6350338444386,931.6350338444386,931.6350338444386,931.6350338444386,2023-07-06,0,0,0,0,0,0
,929.976107742268,929.976107742268,929.976107742268,929.976107742268,929.976107742268,2023-07-07,0,0,0,0,0,0
,923.1452024012996,923.1452024012996,923.1452024012996,923.1452024012996,923.1452024012996,2023-07-10,0,0,0,0,0,0
,925.4872675187264,925.4872675187264,925.4872675187264,925.4872675187264,925.4872675187264,2023-07-11,0,0,0,0,0,0
,925.48722460236,925.48722460236,925.48722460236,925.48722460236,925.48722460236,2023-07-12,0,0,0,0,0,0
,924.8041153240754,924.8041153240754,924.8041153240754,924.8041153240754,924.8041153240754,2023-07-13,0,0,0,0,0,0
,936.5630336523336,936.5630336523336,936.5630336523336,936.5630336523336,936.5630336523336,2023-07-14,0,0,0,0,0,0
,939.636889650411,939.636889650411,939.636889650411,939.636889650411,939.636889650411,2023-07-17,0,0,0,0,0,0
