Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,4374.31103515625,4374.31103515625,4374.31103515625,4374.31103515625,4374.31103515625,2024-09-09,0,0,0,0,0,0
,4431.625,4431.625,4431.625,4431.625,4431.625,2024-09-10,0,0,0,0,0,0
,4403.60791015625,4403.60791015625,4403.60791015625,4403.60791015625,4403.60791015625,2024-09-11,0,0,0,0,0,0
,4441.30908203125,4441.30908203125,4441.30908203125,4441.30908203125,4441.30908203125,2024-09-12,0,0,0,0,0,0
,4446.12646484375,4446.12646484375,4446.12646484375,4446.12646484375,4446.12646484375,2024-09-13,0,0,0,0,0,0
,4436.9345703125,4436.9345703125,4436.9345703125,4436.9345703125,4436.9345703125,2024-09-16,0,0,0,0,0,0
,4429.46240234375,4429.46240234375,4429.46240234375,4429.46240234375,4429.46240234375,2024-09-17,0,0,0,0,0,0
,4272.6591796875,4272.6591796875,4272.6591796875,4272.6591796875,4272.6591796875,2024-09-18,0,0,0,0,0,0
,4223.50537109375,4223.50537109375,4223.50537109375,4223.50537109375,4223.50537109375,2024-09-19,0,0,0,0,0,0
,4212.44580078125,4212.44580078125,4212.44580078125,4212.44580078125,4212.44580078125,2024-09-20,0,0,0,0,0,0
,4196.32275390625,4196.32275390625,4196.32275390625,4196.32275390625,4196.32275390625,2024-09-23,0,0,0,0,0,0
,4199.0751953125,4199.0751953125,4199.0751953125,4199.0751953125,4199.0751953125,2024-09-24,0,0,0,0,0,0
,4202.46728515625,4202.46728515625,4202.46728515625,4202.46728515625,4202.46728515625,2024-09-25,0,0,0,0,0,0
,4219.9169921875,4219.9169921875,4219.9169921875,4219.9169921875,4219.9169921875,2024-09-26,0,0,0,0,0,0
,4235.84375,4235.84375,4235.84375,4235.84375,4235.84375,2024-09-27,0,0,0,0,0,0
,4196.32275390625,4196.32275390625,4196.32275390625,4196.32275390625,4196.32275390625,2024-09-30,0,0,0,0,0,0
,4215.39501953125,4215.39501953125,4215.39501953125,4215.39501953125,4215.39501953125,2024-10-01,0,0,0,0,0,0
,4161.17724609375,4161.17724609375,4161.17724609375,4161.17724609375,4161.17724609375,2024-10-03,0,0,0,0,0,0
,4180.34765625,4180.34765625,4180.34765625,4180.34765625,4180.34765625,2024-10-04,0,0,0,0,0,0
,4200.599609375,4200.599609375,4200.599609375,4200.599609375,4200.599609375,2024-10-07,0,0,0,0,0,0
,4181.33056640625,4181.33056640625,4181.33056640625,4181.33056640625,4181.33056640625,2024-10-08,0,0,0,0,0,0
,4181.03564453125,4181.03564453125,4181.03564453125,4181.03564453125,4181.03564453125,2024-10-09,0,0,0,0,0,0
,4155.91748046875,4155.91748046875,4155.91748046875,4155.91748046875,4155.91748046875,2024-10-10,0,0,0,0,0,0
,4079.0400390625,4079.0400390625,4079.0400390625,4079.0400390625,4079.0400390625,2024-10-11,0,0,0,0,0,0
,4066.701904296875,4066.701904296875,4066.701904296875,4066.701904296875,4066.701904296875,2024-10-14,0,0,0,0,0,0
,4047.1875,4047.1875,4047.1875,4047.1875,4047.1875,2024-10-15,0,0,0,0,0,0
,4025.70751953125,4025.70751953125,4025.70751953125,4025.70751953125,4025.70751953125,2024-10-16,0,0,0,0,0,0
,4039.519775390625,4039.519775390625,4039.519775390625,4039.519775390625,4039.519775390625,2024-10-17,0,0,0,0,0,0
,4063.220703125,4063.220703125,4063.220703125,4063.220703125,4063.220703125,2024-10-18,0,0,0,0,0,0
,4020.647705078125,4020.647705078125,4020.647705078125,4020.647705078125,4020.647705078125,2024-10-21,0,0,0,0,0,0
,3957.231201171875,3957.231201171875,3957.231201171875,3957.231201171875,3957.231201171875,2024-10-22,0,0,0,0,0,0
,4007.244873046875,4007.244873046875,4007.244873046875,4007.244873046875,4007.244873046875,2024-10-23,0,0,0,0,0,0
,3989.1611328125,3989.1611328125,3989.1611328125,3989.1611328125,3989.1611328125,2024-10-24,0,0,0,0,0,0
,3998.67138671875,3998.67138671875,3998.67138671875,3998.67138671875,3998.67138671875,2024-10-25,0,0,0,0,0,0
,4031.488037109375,4031.488037109375,4031.488037109375,4031.488037109375,4031.488037109375,2024-10-28,0,0,0,0,0,0
,4016.1142578125,4016.1142578125,4016.1142578125,4016.1142578125,4016.1142578125,2024-10-29,0,0,0,0,0,0
