Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2116.9040216995168,2116.9040216995168,2116.9040216995168,2116.9040216995168,2116.9040216995168,2023-02-13,0,0,0,0,0,0
,2157.819578438137,2157.819578438137,2157.819578438137,2157.819578438137,2157.819578438137,2023-02-14,0,0,0,0,0,0
,2129.568401185093,2129.568401185093,2129.568401185093,2129.568401185093,2129.568401185093,2023-02-15,0,0,0,0,0,0
,2130.347955896824,2130.347955896824,2130.347955896824,2130.347955896824,2130.347955896824,2023-02-16,0,0,0,0,0,0
,2113.786741693056,2113.786741693056,2113.786741693056,2113.786741693056,2113.786741693056,2023-02-17,0,0,0,0,0,0
,2176.037097964976,2176.037097964976,2176.037097964976,2176.037097964976,2176.037097964976,2023-02-20,0,0,0,0,0,0
,2181.200242952478,2181.200242952478,2181.200242952478,2181.200242952478,2181.200242952478,2023-02-21,0,0,0,0,0,0
,2171.4583655554093,2171.4583655554093,2171.4583655554093,2171.4583655554093,2171.4583655554093,2023-02-22,0,0,0,0,0,0
,2147.103667870588,2147.103667870588,2147.103667870588,2147.103667870588,2147.103667870588,2023-02-23,0,0,0,0,0,0
,2104.239524936824,2104.239524936824,2104.239524936824,2104.239524936824,2104.239524936824,2023-02-24,0,0,0,0,0,0
,2078.9595253051125,2078.9595253051125,2078.9595253051125,2078.9595253051125,2078.9595253051125,2023-02-27,0,0,0,0,0,0
,2060.401225686352,2060.401225686352,2060.401225686352,2060.401225686352,2060.401225686352,2023-02-28,0,0,0,0,0,0
,2045.788525263932,2045.788525263932,2045.788525263932,2045.788525263932,2045.788525263932,2023-03-01,0,0,0,0,0,0
,2074.965356984738,2074.965356984738,2074.965356984738,2074.965356984738,2074.965356984738,2023-03-02,0,0,0,0,0,0
,2084.7558962503617,2084.7558962503617,2084.7558962503617,2084.7558962503617,2084.7558962503617,2023-03-03,0,0,0,0,0,0
,2102.534634071253,2102.534634071253,2102.534634071253,2102.534634071253,2102.534634071253,2023-03-06,0,0,0,0,0,0
