Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1104.7217922905263,1104.7217922905263,1104.7217922905263,1104.7217922905263,1104.7217922905263,2023-02-17,0,0,0,0,0,0
,1116.13425652598,1116.13425652598,1116.13425652598,1116.13425652598,1116.13425652598,2023-02-20,0,0,0,0,0,0
,1106.5479683974272,1106.5479683974272,1106.5479683974272,1106.5479683974272,1106.5479683974272,2023-02-21,0,0,0,0,0,0
,1107.4380609994969,1107.4380609994969,1107.4380609994969,1107.4380609994969,1107.4380609994969,2023-02-22,0,0,0,0,0,0
,1085.5489053785018,1085.5489053785018,1085.5489053785018,1085.5489053785018,1085.5489053785018,2023-02-23,0,0,0,0,0,0
,1082.810002251087,1082.810002251087,1082.810002251087,1082.810002251087,1082.810002251087,2023-02-24,0,0,0,0,0,0
,1087.3750050988056,1087.3750050988056,1087.3750050988056,1087.3750050988056,1087.3750050988056,2023-02-27,0,0,0,0,0,0
,1075.5516247048563,1075.5516247048563,1075.5516247048563,1075.5516247048563,1075.5516247048563,2023-02-28,0,0,0,0,0,0
,1070.0280642112666,1070.0280642112666,1070.0280642112666,1070.0280642112666,1070.0280642112666,2023-03-01,0,0,0,0,0,0
,1066.8326656493814,1066.8326656493814,1066.8326656493814,1066.8326656493814,1066.8326656493814,2023-03-02,0,0,0,0,0,0
,1072.3789987479977,1072.3789987479977,1072.3789987479977,1072.3789987479977,1072.3789987479977,2023-03-03,0,0,0,0,0,0
,1095.5918675399987,1095.5918675399987,1095.5918675399987,1095.5918675399987,1095.5918675399987,2023-03-06,0,0,0,0,0,0
,1099.563420263857,1099.563420263857,1099.563420263857,1099.563420263857,1099.563420263857,2023-03-08,0,0,0,0,0,0
,1102.8958764013148,1102.8958764013148,1102.8958764013148,1102.8958764013148,1102.8958764013148,2023-03-09,0,0,0,0,0,0
,1068.8868957671646,1068.8868957671646,1068.8868957671646,1068.8868957671646,1068.8868957671646,2023-03-10,0,0,0,0,0,0
,1063.1806779260546,1063.1806779260546,1063.1806779260546,1063.1806779260546,1063.1806779260546,2023-03-13,0,0,0,0,0,0
,1040.812257084253,1040.812257084253,1040.812257084253,1040.812257084253,1040.812257084253,2023-03-14,0,0,0,0,0,0
,1042.6839706485125,1042.6839706485125,1042.6839706485125,1042.6839706485125,1042.6839706485125,2023-03-15,0,0,0,0,0,0
,1023.921951504309,1023.921951504309,1023.921951504309,1023.921951504309,1023.921951504309,2023-03-16,0,0,0,0,0,0
,1024.7208434439497,1024.7208434439497,1024.7208434439497,1024.7208434439497,1024.7208434439497,2023-03-17,0,0,0,0,0,0
,1011.1400066065016,1011.1400066065016,1011.1400066065016,1011.1400066065016,1011.1400066065016,2023-03-20,0,0,0,0,0,0
,1012.9431232711898,1012.9431232711898,1012.9431232711898,1012.9431232711898,1012.9431232711898,2023-03-21,0,0,0,0,0,0
,1043.0948141638405,1043.0948141638405,1043.0948141638405,1043.0948141638405,1043.0948141638405,2023-03-22,0,0,0,0,0,0
,1035.3344834675563,1035.3344834675563,1035.3344834675563,1035.3344834675563,1035.3344834675563,2023-03-23,0,0,0,0,0,0
,1024.949051064462,1024.949051064462,1024.949051064462,1024.949051064462,1024.949051064462,2023-03-24,0,0,0,0,0,0
,1012.2812828490338,1012.2812828490338,1012.2812828490338,1012.2812828490338,1012.2812828490338,2023-03-27,0,0,0,0,0,0
