Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,216.2700042724609,216.2700042724609,216.2700042724609,216.2700042724609,216.2700042724609,2024-09-09,0,0,0,0,0,0
,226.1699981689453,226.1699981689453,226.1699981689453,226.1699981689453,226.1699981689453,2024-09-10,0,0,0,0,0,0
,228.1300048828125,228.1300048828125,228.1300048828125,228.1300048828125,228.1300048828125,2024-09-11,0,0,0,0,0,0
,229.8099975585937,229.8099975585937,229.8099975585937,229.8099975585937,229.8099975585937,2024-09-12,0,0,0,0,0,0
,230.2899932861328,230.2899932861328,230.2899932861328,230.2899932861328,230.2899932861328,2024-09-13,0,0,0,0,0,0
,226.77999877929688,226.77999877929688,226.77999877929688,226.77999877929688,226.77999877929688,2024-09-16,0,0,0,0,0,0
,227.8699951171875,227.8699951171875,227.8699951171875,227.8699951171875,227.8699951171875,2024-09-17,0,0,0,0,0,0
,227.1999969482422,227.1999969482422,227.1999969482422,227.1999969482422,227.1999969482422,2024-09-18,0,0,0,0,0,0
,243.9199981689453,243.9199981689453,243.9199981689453,243.9199981689453,243.9199981689453,2024-09-19,0,0,0,0,0,0
,238.25,238.25,238.25,238.25,238.25,2024-09-20,0,0,0,0,0,0
,250.0,250.0,250.0,250.0,250.0,2024-09-23,0,0,0,0,0,0
,254.2700042724609,254.2700042724609,254.2700042724609,254.2700042724609,254.2700042724609,2024-09-24,0,0,0,0,0,0
,257.0199890136719,257.0199890136719,257.0199890136719,257.0199890136719,257.0199890136719,2024-09-25,0,0,0,0,0,0
,254.22000122070312,254.22000122070312,254.22000122070312,254.22000122070312,254.22000122070312,2024-09-26,0,0,0,0,0,0
,260.4599914550781,260.4599914550781,260.4599914550781,260.4599914550781,260.4599914550781,2024-09-27,0,0,0,0,0,0
,261.6300048828125,261.6300048828125,261.6300048828125,261.6300048828125,261.6300048828125,2024-09-30,0,0,0,0,0,0
,258.0199890136719,258.0199890136719,258.0199890136719,258.0199890136719,258.0199890136719,2024-10-01,0,0,0,0,0,0
,249.0200042724609,249.0200042724609,249.0200042724609,249.0200042724609,249.0200042724609,2024-10-02,0,0,0,0,0,0
,240.6600036621093,240.6600036621093,240.6600036621093,240.6600036621093,240.6600036621093,2024-10-03,0,0,0,0,0,0
,250.0800018310547,250.0800018310547,250.0800018310547,250.0800018310547,250.0800018310547,2024-10-04,0,0,0,0,0,0
,240.8300018310547,240.8300018310547,240.8300018310547,240.8300018310547,240.8300018310547,2024-10-07,0,0,0,0,0,0
,244.5,244.5,244.5,244.5,244.5,2024-10-08,0,0,0,0,0,0
,241.0500030517578,241.0500030517578,241.0500030517578,241.0500030517578,241.0500030517578,2024-10-09,0,0,0,0,0,0
,238.7700042724609,238.7700042724609,238.7700042724609,238.7700042724609,238.7700042724609,2024-10-10,0,0,0,0,0,0
,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,217.8000030517578,2024-10-11,0,0,0,0,0,0
,219.1600036621093,219.1600036621093,219.1600036621093,219.1600036621093,219.1600036621093,2024-10-14,0,0,0,0,0,0
,219.57000732421875,219.57000732421875,219.57000732421875,219.57000732421875,219.57000732421875,2024-10-15,0,0,0,0,0,0
,221.3300018310547,221.3300018310547,221.3300018310547,221.3300018310547,221.3300018310547,2024-10-16,0,0,0,0,0,0
,220.88999938964844,220.88999938964844,220.88999938964844,220.88999938964844,220.88999938964844,2024-10-17,0,0,0,0,0,0
,220.6999969482422,220.6999969482422,220.6999969482422,220.6999969482422,220.6999969482422,2024-10-18,0,0,0,0,0,0
,218.8500061035156,218.8500061035156,218.8500061035156,218.8500061035156,218.8500061035156,2024-10-21,0,0,0,0,0,0
,217.97000122070312,217.97000122070312,217.97000122070312,217.97000122070312,217.97000122070312,2024-10-22,0,0,0,0,0,0
,213.6499938964844,213.6499938964844,213.6499938964844,213.6499938964844,213.6499938964844,2024-10-23,0,0,0,0,0,0
,260.4800109863281,260.4800109863281,260.4800109863281,260.4800109863281,260.4800109863281,2024-10-24,0,0,0,0,0,0
,269.19000244140625,269.19000244140625,269.19000244140625,269.19000244140625,269.19000244140625,2024-10-25,0,0,0,0,0,0
,262.510009765625,262.510009765625,262.510009765625,262.510009765625,262.510009765625,2024-10-28,0,0,0,0,0,0
,259.5199890136719,259.5199890136719,259.5199890136719,259.5199890136719,259.5199890136719,2024-10-29,0,0,0,0,0,0
,257.54998779296875,257.54998779296875,257.54998779296875,257.54998779296875,257.54998779296875,2024-10-30,0,0,0,0,0,0
,249.8500061035156,249.8500061035156,249.8500061035156,249.8500061035156,249.8500061035156,2024-10-31,0,0,0,0,0,0
,248.97999572753903,248.97999572753903,248.97999572753903,248.97999572753903,248.97999572753903,2024-11-01,0,0,0,0,0,0
,242.83999633789065,242.83999633789065,242.83999633789065,242.83999633789065,242.83999633789065,2024-11-04,0,0,0,0,0,0
,251.44000244140625,251.44000244140625,251.44000244140625,251.44000244140625,251.44000244140625,2024-11-05,0,0,0,0,0,0
,288.5299987792969,288.5299987792969,288.5299987792969,288.5299987792969,288.5299987792969,2024-11-06,0,0,0,0,0,0
,296.9100036621094,296.9100036621094,296.9100036621094,296.9100036621094,296.9100036621094,2024-11-07,0,0,0,0,0,0
,321.2200012207031,321.2200012207031,321.2200012207031,321.2200012207031,321.2200012207031,2024-11-08,0,0,0,0,0,0
,350.0,350.0,350.0,350.0,350.0,2024-11-11,0,0,0,0,0,0
,328.489990234375,328.489990234375,328.489990234375,328.489990234375,328.489990234375,2024-11-12,0,0,0,0,0,0
,330.239990234375,330.239990234375,330.239990234375,330.239990234375,330.239990234375,2024-11-13,0,0,0,0,0,0
,311.17999267578125,311.17999267578125,311.17999267578125,311.17999267578125,311.17999267578125,2024-11-14,0,0,0,0,0,0
,320.7200012207031,320.7200012207031,320.7200012207031,320.7200012207031,320.7200012207031,2024-11-15,0,0,0,0,0,0
,338.739990234375,338.739990234375,338.739990234375,338.739990234375,338.739990234375,2024-11-18,0,0,0,0,0,0
,346.0,346.0,346.0,346.0,346.0,2024-11-19,0,0,0,0,0,0
,342.0299987792969,342.0299987792969,342.0299987792969,342.0299987792969,342.0299987792969,2024-11-20,0,0,0,0,0,0
,339.6400146484375,339.6400146484375,339.6400146484375,339.6400146484375,339.6400146484375,2024-11-21,0,0,0,0,0,0
,352.5599975585937,352.5599975585937,352.5599975585937,352.5599975585937,352.5599975585937,2024-11-22,0,0,0,0,0,0
,338.5899963378906,338.5899963378906,338.5899963378906,338.5899963378906,338.5899963378906,2024-11-25,0,0,0,0,0,0
,338.2300109863281,338.2300109863281,338.2300109863281,338.2300109863281,338.2300109863281,2024-11-26,0,0,0,0,0,0
,332.8900146484375,332.8900146484375,332.8900146484375,332.8900146484375,332.8900146484375,2024-11-27,0,0,0,0,0,0
,345.1600036621094,345.1600036621094,345.1600036621094,345.1600036621094,345.1600036621094,2024-11-29,0,0,0,0,0,0
,357.0899963378906,357.0899963378906,357.0899963378906,357.0899963378906,357.0899963378906,2024-12-02,0,0,0,0,0,0
,351.4200134277344,351.4200134277344,351.4200134277344,351.4200134277344,351.4200134277344,2024-12-03,0,0,0,0,0,0
,357.92999267578125,357.92999267578125,357.92999267578125,357.92999267578125,357.92999267578125,2024-12-04,0,0,0,0,0,0
,369.489990234375,369.489990234375,369.489990234375,369.489990234375,369.489990234375,2024-12-05,0,0,0,0,0,0
,389.2200012207031,389.2200012207031,389.2200012207031,389.2200012207031,389.2200012207031,2024-12-06,0,0,0,0,0,0
,389.7900085449219,389.7900085449219,389.7900085449219,389.7900085449219,389.7900085449219,2024-12-09,0,0,0,0,0,0
,400.989990234375,400.989990234375,400.989990234375,400.989990234375,400.989990234375,2024-12-10,0,0,0,0,0,0
,424.7699890136719,424.7699890136719,424.7699890136719,424.7699890136719,424.7699890136719,2024-12-11,0,0,0,0,0,0
,418.1000061035156,418.1000061035156,418.1000061035156,418.1000061035156,418.1000061035156,2024-12-12,0,0,0,0,0,0
,436.2300109863281,436.2300109863281,436.2300109863281,436.2300109863281,436.2300109863281,2024-12-13,0,0,0,0,0,0
,463.0199890136719,463.0199890136719,463.0199890136719,463.0199890136719,463.0199890136719,2024-12-16,0,0,0,0,0,0
,479.8599853515625,479.8599853515625,479.8599853515625,479.8599853515625,479.8599853515625,2024-12-17,0,0,0,0,0,0
,440.1300048828125,440.1300048828125,440.1300048828125,440.1300048828125,440.1300048828125,2024-12-18,0,0,0,0,0,0
,436.1700134277344,436.1700134277344,436.1700134277344,436.1700134277344,436.1700134277344,2024-12-19,0,0,0,0,0,0
,421.05999755859375,421.05999755859375,421.05999755859375,421.05999755859375,421.05999755859375,2024-12-20,0,0,0,0,0,0
,430.6000061035156,430.6000061035156,430.6000061035156,430.6000061035156,430.6000061035156,2024-12-23,0,0,0,0,0,0
,462.2799987792969,462.2799987792969,462.2799987792969,462.2799987792969,462.2799987792969,2024-12-24,0,0,0,0,0,0
,454.1300048828125,454.1300048828125,454.1300048828125,454.1300048828125,454.1300048828125,2024-12-26,0,0,0,0,0,0
,431.6600036621094,431.6600036621094,431.6600036621094,431.6600036621094,431.6600036621094,2024-12-27,0,0,0,0,0,0
,417.4100036621094,417.4100036621094,417.4100036621094,417.4100036621094,417.4100036621094,2024-12-30,0,0,0,0,0,0
,403.8399963378906,403.8399963378906,403.8399963378906,403.8399963378906,403.8399963378906,2024-12-31,0,0,0,0,0,0
,379.2799987792969,379.2799987792969,379.2799987792969,379.2799987792969,379.2799987792969,2025-01-02,0,0,0,0,0,0
,410.4400024414063,410.4400024414063,410.4400024414063,410.4400024414063,410.4400024414063,2025-01-03,0,0,0,0,0,0
,411.0499877929688,411.0499877929688,411.0499877929688,411.0499877929688,411.0499877929688,2025-01-06,0,0,0,0,0,0
,394.3599853515625,394.3599853515625,394.3599853515625,394.3599853515625,394.3599853515625,2025-01-07,0,0,0,0,0,0
,394.9400024414063,394.9400024414063,394.9400024414063,394.9400024414063,394.9400024414063,2025-01-08,0,0,0,0,0,0
,394.739990234375,394.739990234375,394.739990234375,394.739990234375,394.739990234375,2025-01-10,0,0,0,0,0,0
,403.30999755859375,403.30999755859375,403.30999755859375,403.30999755859375,403.30999755859375,2025-01-13,0,0,0,0,0,0
,396.3599853515625,396.3599853515625,396.3599853515625,396.3599853515625,396.3599853515625,2025-01-14,0,0,0,0,0,0
,428.2200012207031,428.2200012207031,428.2200012207031,428.2200012207031,428.2200012207031,2025-01-15,0,0,0,0,0,0
,413.8200073242188,413.8200073242188,413.8200073242188,413.8200073242188,413.8200073242188,2025-01-16,0,0,0,0,0,0
,426.5,426.5,426.5,426.5,426.5,2025-01-17,0,0,0,0,0,0
,424.0700073242188,424.0700073242188,424.0700073242188,424.0700073242188,424.0700073242188,2025-01-21,0,0,0,0,0,0
,415.1099853515625,415.1099853515625,415.1099853515625,415.1099853515625,415.1099853515625,2025-01-22,0,0,0,0,0,0
,412.3800048828125,412.3800048828125,412.3800048828125,412.3800048828125,412.3800048828125,2025-01-23,0,0,0,0,0,0
,406.5799865722656,406.5799865722656,406.5799865722656,406.5799865722656,406.5799865722656,2025-01-24,0,0,0,0,0,0
,397.1499938964844,397.1499938964844,397.1499938964844,397.1499938964844,397.1499938964844,2025-01-27,0,0,0,0,0,0
,398.0899963378906,398.0899963378906,398.0899963378906,398.0899963378906,398.0899963378906,2025-01-28,0,0,0,0,0,0
,389.1000061035156,389.1000061035156,389.1000061035156,389.1000061035156,389.1000061035156,2025-01-29,0,0,0,0,0,0
,400.2799987792969,400.2799987792969,400.2799987792969,400.2799987792969,400.2799987792969,2025-01-30,0,0,0,0,0,0
,404.6000061035156,404.6000061035156,404.6000061035156,404.6000061035156,404.6000061035156,2025-01-31,0,0,0,0,0,0
,383.6799926757813,383.6799926757813,383.6799926757813,383.6799926757813,383.6799926757813,2025-02-03,0,0,0,0,0,0
,392.2099914550781,392.2099914550781,392.2099914550781,392.2099914550781,392.2099914550781,2025-02-04,0,0,0,0,0,0
,378.1700134277344,378.1700134277344,378.1700134277344,378.1700134277344,378.1700134277344,2025-02-05,0,0,0,0,0,0
,374.3200073242188,374.3200073242188,374.3200073242188,374.3200073242188,374.3200073242188,2025-02-06,0,0,0,0,0,0
,361.6199951171875,361.6199951171875,361.6199951171875,361.6199951171875,361.6199951171875,2025-02-07,0,0,0,0,0,0
,350.7300109863281,350.7300109863281,350.7300109863281,350.7300109863281,350.7300109863281,2025-02-10,0,0,0,0,0,0
,328.5,328.5,328.5,328.5,328.5,2025-02-11,0,0,0,0,0,0
,336.510009765625,336.510009765625,336.510009765625,336.510009765625,336.510009765625,2025-02-12,0,0,0,0,0,0
,355.94000244140625,355.94000244140625,355.94000244140625,355.94000244140625,355.94000244140625,2025-02-13,0,0,0,0,0,0
,355.8399963378906,355.8399963378906,355.8399963378906,355.8399963378906,355.8399963378906,2025-02-14,0,0,0,0,0,0
,354.1099853515625,354.1099853515625,354.1099853515625,354.1099853515625,354.1099853515625,2025-02-18,0,0,0,0,0,0
,360.55999755859375,360.55999755859375,360.55999755859375,360.55999755859375,360.55999755859375,2025-02-19,0,0,0,0,0,0
,354.3999938964844,354.3999938964844,354.3999938964844,354.3999938964844,354.3999938964844,2025-02-20,0,0,0,0,0,0
,337.79998779296875,337.79998779296875,337.79998779296875,337.79998779296875,337.79998779296875,2025-02-21,0,0,0,0,0,0
,330.5299987792969,330.5299987792969,330.5299987792969,330.5299987792969,330.5299987792969,2025-02-24,0,0,0,0,0,0
,302.79998779296875,302.79998779296875,302.79998779296875,302.79998779296875,302.79998779296875,2025-02-25,0,0,0,0,0,0
,290.79998779296875,290.79998779296875,290.79998779296875,290.79998779296875,290.79998779296875,2025-02-26,0,0,0,0,0,0
,281.95001220703125,281.95001220703125,281.95001220703125,281.95001220703125,281.95001220703125,2025-02-27,0,0,0,0,0,0
,292.9800109863281,292.9800109863281,292.9800109863281,292.9800109863281,292.9800109863281,2025-02-28,0,0,0,0,0,0
,284.6499938964844,284.6499938964844,284.6499938964844,284.6499938964844,284.6499938964844,2025-03-03,0,0,0,0,0,0
,272.0400085449219,272.0400085449219,272.0400085449219,272.0400085449219,272.0400085449219,2025-03-04,0,0,0,0,0,0
,279.1000061035156,279.1000061035156,279.1000061035156,279.1000061035156,279.1000061035156,2025-03-05,0,0,0,0,0,0
