Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,2465.1674800429623,2023-01-02,0,0,0,0,0,0
,2442.324887138332,2442.324887138332,2442.324887138332,2442.324887138332,2442.324887138332,2023-01-03,0,0,0,0,0,0
,2442.75594419489,2442.75594419489,2442.75594419489,2442.75594419489,2442.75594419489,2023-01-04,0,0,0,0,0,0
,2430.352893001794,2430.352893001794,2430.352893001794,2430.352893001794,2430.352893001794,2023-01-05,0,0,0,0,0,0
,2471.009454153878,2471.009454153878,2471.009454153878,2471.009454153878,2471.009454153878,2023-01-06,0,0,0,0,0,0
,2479.964897483789,2479.964897483789,2479.964897483789,2479.964897483789,2479.964897483789,2023-01-09,0,0,0,0,0,0
,2513.1987449945536,2513.1987449945536,2513.1987449945536,2513.1987449945536,2513.1987449945536,2023-01-10,0,0,0,0,0,0
,2532.306052597489,2532.306052597489,2532.306052597489,2532.306052597489,2532.306052597489,2023-01-11,0,0,0,0,0,0
,2476.8521655707195,2476.8521655707195,2476.8521655707195,2476.8521655707195,2476.8521655707195,2023-01-12,0,0,0,0,0,0
,2480.7789314800148,2480.7789314800148,2480.7789314800148,2480.7789314800148,2480.7789314800148,2023-01-13,0,0,0,0,0,0
,2516.9343216078087,2516.9343216078087,2516.9343216078087,2516.9343216078087,2516.9343216078087,2023-01-16,0,0,0,0,0,0
,2495.384842595419,2495.384842595419,2495.384842595419,2495.384842595419,2495.384842595419,2023-01-17,0,0,0,0,0,0
,2555.2920387087684,2555.2920387087684,2555.2920387087684,2555.2920387087684,2555.2920387087684,2023-01-18,0,0,0,0,0,0
,2557.303408941623,2557.303408941623,2557.303408941623,2557.303408941623,2557.303408941623,2023-01-19,0,0,0,0,0,0
,2442.2772728666014,2442.2772728666014,2442.2772728666014,2442.2772728666014,2442.2772728666014,2023-01-20,0,0,0,0,0,0
,2451.8545830530443,2451.8545830530443,2451.8545830530443,2451.8545830530443,2451.8545830530443,2023-01-23,0,0,0,0,0,0
,2493.9956994448185,2493.9956994448185,2493.9956994448185,2493.9956994448185,2493.9956994448185,2023-01-24,0,0,0,0,0,0
,2490.6439869172245,2490.6439869172245,2490.6439869172245,2490.6439869172245,2490.6439869172245,2023-01-25,0,0,0,0,0,0
,2524.165203293354,2524.165203293354,2524.165203293354,2524.165203293354,2524.165203293354,2023-01-27,0,0,0,0,0,0
,2499.742324991905,2499.742324991905,2499.742324991905,2499.742324991905,2499.742324991905,2023-01-30,0,0,0,0,0,0
,2459.516610374017,2459.516610374017,2459.516610374017,2459.516610374017,2459.516610374017,2023-01-31,0,0,0,0,0,0
,2490.356399950708,2490.356399950708,2490.356399950708,2490.356399950708,2490.356399950708,2023-02-01,0,0,0,0,0,0
,2460.953295465138,2460.953295465138,2460.953295465138,2460.953295465138,2460.953295465138,2023-02-02,0,0,0,0,0,0
,2528.4751061821617,2528.4751061821617,2528.4751061821617,2528.4751061821617,2528.4751061821617,2023-02-03,0,0,0,0,0,0
,2519.8554760862344,2519.8554760862344,2519.8554760862344,2519.8554760862344,2519.8554760862344,2023-02-06,0,0,0,0,0,0
,2533.263709328862,2533.263709328862,2533.263709328862,2533.263709328862,2533.263709328862,2023-02-07,0,0,0,0,0,0
,2483.173093909701,2483.173093909701,2483.173093909701,2483.173093909701,2483.173093909701,2023-02-08,0,0,0,0,0,0
,2477.713887134675,2477.713887134675,2477.713887134675,2477.713887134675,2477.713887134675,2023-02-09,0,0,0,0,0,0
,2475.798401885306,2475.798401885306,2475.798401885306,2475.798401885306,2475.798401885306,2023-02-10,0,0,0,0,0,0
,2451.854659046881,2451.854659046881,2451.854659046881,2451.854659046881,2451.854659046881,2023-02-13,0,0,0,0,0,0
,2475.798496258107,2475.798496258107,2475.798496258107,2475.798496258107,2475.798496258107,2023-02-14,0,0,0,0,0,0
,2442.276804288299,2442.276804288299,2442.276804288299,2442.276804288299,2442.276804288299,2023-02-15,0,0,0,0,0,0
,2451.854550892754,2451.854550892754,2451.854550892754,2451.854550892754,2451.854550892754,2023-02-16,0,0,0,0,0,0
,2418.3332988789816,2418.3332988789816,2418.3332988789816,2418.3332988789816,2418.3332988789816,2023-02-17,0,0,0,0,0,0
,2411.628815253265,2411.628815253265,2411.628815253265,2411.628815253265,2411.628815253265,2023-02-20,0,0,0,0,0,0
,2421.2066775663075,2421.2066775663075,2421.2066775663075,2421.2066775663075,2421.2066775663075,2023-02-21,0,0,0,0,0,0
,2409.8569347099165,2409.8569347099165,2409.8569347099165,2409.8569347099165,2409.8569347099165,2023-02-22,0,0,0,0,0,0
,2386.727145725292,2386.727145725292,2386.727145725292,2386.727145725292,2386.727145725292,2023-02-23,0,0,0,0,0,0
