Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,929.7868500899776,2023-01-02,0,0,0,0,0,0
,942.2538282071222,942.2538282071222,942.2538282071222,942.2538282071222,942.2538282071222,2023-01-03,0,0,0,0,0,0
,960.9542909190052,960.9542909190052,960.9542909190052,960.9542909190052,960.9542909190052,2023-01-04,0,0,0,0,0,0
,957.4635394400372,957.4635394400372,957.4635394400372,957.4635394400372,957.4635394400372,2023-01-05,0,0,0,0,0,0
,944.0490803274756,944.0490803274756,944.0490803274756,944.0490803274756,944.0490803274756,2023-01-06,0,0,0,0,0,0
,944.2984191882836,944.2984191882836,944.2984191882836,944.2984191882836,944.2984191882836,2023-01-09,0,0,0,0,0,0
,961.4529432194536,961.4529432194536,961.4529432194536,961.4529432194536,961.4529432194536,2023-01-10,0,0,0,0,0,0
,950.4820135387192,950.4820135387192,950.4820135387192,950.4820135387192,950.4820135387192,2023-01-11,0,0,0,0,0,0
,946.8416511641792,946.8416511641792,946.8416511641792,946.8416511641792,946.8416511641792,2023-01-12,0,0,0,0,0,0
,933.0282324261028,933.0282324261028,933.0282324261028,933.0282324261028,933.0282324261028,2023-01-13,0,0,0,0,0,0
,937.9651606102152,937.9651606102152,937.9651606102152,937.9651606102152,937.9651606102152,2023-01-16,0,0,0,0,0,0
,912.532534594739,912.532534594739,912.532534594739,912.532534594739,912.532534594739,2023-01-17,0,0,0,0,0,0
,919.4641667501236,919.4641667501236,919.4641667501236,919.4641667501236,919.4641667501236,2023-01-18,0,0,0,0,0,0
,921.159654434783,921.159654434783,921.159654434783,921.159654434783,921.159654434783,2023-01-19,0,0,0,0,0,0
,928.7894712435568,928.7894712435568,928.7894712435568,928.7894712435568,928.7894712435568,2023-01-20,0,0,0,0,0,0
,933.5269253901992,933.5269253901992,933.5269253901992,933.5269253901992,933.5269253901992,2023-01-23,0,0,0,0,0,0
,932.5295668790604,932.5295668790604,932.5295668790604,932.5295668790604,932.5295668790604,2023-01-24,0,0,0,0,0,0
,902.6088496225308,902.6088496225308,902.6088496225308,902.6088496225308,902.6088496225308,2023-01-25,0,0,0,0,0,0
,889.9922375871389,889.9922375871389,889.9922375871389,889.9922375871389,889.9922375871389,2023-01-27,0,0,0,0,0,0
,849.6492066457566,849.6492066457566,849.6492066457566,849.6492066457566,849.6492066457566,2023-01-30,0,0,0,0,0,0
