Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,1431.7069926445863,2023-01-30,0,0,0,0,0,0
,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,1450.5303854571384,2023-01-31,0,0,0,0,0,0
,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,1444.2556654298946,2023-02-01,0,0,0,0,0,0
,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,1453.43341554854,2023-02-02,0,0,0,0,0,0
,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,1496.0437650760916,2023-02-03,0,0,0,0,0,0
,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,1496.5118898904536,2023-02-06,0,0,0,0,0,0
,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,1469.3536663009922,2023-02-07,0,0,0,0,0,0
,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,1466.0758963821445,2023-02-08,0,0,0,0,0,0
,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,1494.8263681747696,2023-02-09,0,0,0,0,0,0
,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,1510.5124348701506,2023-02-10,0,0,0,0,0,0
,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,1495.575566077777,2023-02-13,0,0,0,0,0,0
,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,1484.0564371278406,2023-02-14,0,0,0,0,0,0
,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,1483.4010667556165,2023-02-15,0,0,0,0,0,0
,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,1498.3849499152032,2023-02-16,0,0,0,0,0,0
,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,1492.7659027830766,2023-02-17,0,0,0,0,0,0
,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,1484.2906519276423,2023-02-20,0,0,0,0,0,0
,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,1497.1674632827064,2023-02-21,0,0,0,0,0,0
,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,1463.7347048279285,2023-02-22,0,0,0,0,0,0
,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,1470.1496368399694,2023-02-23,0,0,0,0,0,0
