Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,219.8866424560547,219.8866424560547,219.8866424560547,219.8866424560547,219.8866424560547,2024-09-09,0,0,0,0,0,0
,219.09034729003903,219.09034729003903,219.09034729003903,219.09034729003903,219.09034729003903,2024-09-10,0,0,0,0,0,0
,221.62852478027344,221.62852478027344,221.62852478027344,221.62852478027344,221.62852478027344,2024-09-11,0,0,0,0,0,0
,221.738037109375,221.738037109375,221.738037109375,221.738037109375,221.738037109375,2024-09-12,0,0,0,0,0,0
,221.4692840576172,221.4692840576172,221.4692840576172,221.4692840576172,221.4692840576172,2024-09-13,0,0,0,0,0,0
,215.3179168701172,215.3179168701172,215.3179168701172,215.3179168701172,215.3179168701172,2024-09-16,0,0,0,0,0,0
,215.7857208251953,215.7857208251953,215.7857208251953,215.7857208251953,215.7857208251953,2024-09-17,0,0,0,0,0,0
,219.66766357421875,219.66766357421875,219.66766357421875,219.66766357421875,219.66766357421875,2024-09-18,0,0,0,0,0,0
,227.80975341796875,227.80975341796875,227.80975341796875,227.80975341796875,227.80975341796875,2024-09-19,0,0,0,0,0,0
,227.1428680419922,227.1428680419922,227.1428680419922,227.1428680419922,227.1428680419922,2024-09-20,0,0,0,0,0,0
,225.4208831787109,225.4208831787109,225.4208831787109,225.4208831787109,225.4208831787109,2024-09-23,0,0,0,0,0,0
,226.31671142578125,226.31671142578125,226.31671142578125,226.31671142578125,226.31671142578125,2024-09-24,0,0,0,0,0,0
,225.32135009765625,225.32135009765625,225.32135009765625,225.32135009765625,225.32135009765625,2024-09-25,0,0,0,0,0,0
,226.46600341796875,226.46600341796875,226.46600341796875,226.46600341796875,226.46600341796875,2024-09-26,0,0,0,0,0,0
,226.73475646972656,226.73475646972656,226.73475646972656,226.73475646972656,226.73475646972656,2024-09-27,0,0,0,0,0,0
,231.920654296875,231.920654296875,231.920654296875,231.920654296875,231.920654296875,2024-09-30,0,0,0,0,0,0
,225.162109375,225.162109375,225.162109375,225.162109375,225.162109375,2024-10-01,0,0,0,0,0,0
,225.72946166992188,225.72946166992188,225.72946166992188,225.72946166992188,225.72946166992188,2024-10-02,0,0,0,0,0,0
,224.6245880126953,224.6245880126953,224.6245880126953,224.6245880126953,224.6245880126953,2024-10-03,0,0,0,0,0,0
,225.7493591308593,225.7493591308593,225.7493591308593,225.7493591308593,225.7493591308593,2024-10-04,0,0,0,0,0,0
,220.6630249023437,220.6630249023437,220.6630249023437,220.6630249023437,220.6630249023437,2024-10-07,0,0,0,0,0,0
,224.72412109375,224.72412109375,224.72412109375,224.72412109375,224.72412109375,2024-10-08,0,0,0,0,0,0
,228.47666931152344,228.47666931152344,228.47666931152344,228.47666931152344,228.47666931152344,2024-10-09,0,0,0,0,0,0
,227.97897338867188,227.97897338867188,227.97897338867188,227.97897338867188,227.97897338867188,2024-10-10,0,0,0,0,0,0
,226.49588012695312,226.49588012695312,226.49588012695312,226.49588012695312,226.49588012695312,2024-10-11,0,0,0,0,0,0
,230.228515625,230.228515625,230.228515625,230.228515625,230.228515625,2024-10-14,0,0,0,0,0,0
,232.76670837402344,232.76670837402344,232.76670837402344,232.76670837402344,232.76670837402344,2024-10-15,0,0,0,0,0,0
