Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,765.2139032896102,2023-01-02,0,0,0,0,0,0
,762.9563656942497,762.9563656942497,762.9563656942497,762.9563656942497,762.9563656942497,2023-01-03,0,0,0,0,0,0
,768.9765160320345,768.9765160320345,768.9765160320345,768.9765160320345,768.9765160320345,2023-01-04,0,0,0,0,0,0
,759.5701573140472,759.5701573140472,759.5701573140472,759.5701573140472,759.5701573140472,2023-01-05,0,0,0,0,0,0
,753.4559057369754,753.4559057369754,753.4559057369754,753.4559057369754,753.4559057369754,2023-01-06,0,0,0,0,0,0
,750.633994461561,750.633994461561,750.633994461561,750.633994461561,750.633994461561,2023-01-09,0,0,0,0,0,0
,752.5153270897389,752.5153270897389,752.5153270897389,752.5153270897389,752.5153270897389,2023-01-10,0,0,0,0,0,0
,737.4414262012392,737.4414262012392,737.4414262012392,737.4414262012392,737.4414262012392,2023-01-11,0,0,0,0,0,0
,746.7773690003871,746.7773690003871,746.7773690003871,746.7773690003871,746.7773690003871,2023-01-12,0,0,0,0,0,0
,751.9273605293412,751.9273605293412,751.9273605293412,751.9273605293412,751.9273605293412,2023-01-13,0,0,0,0,0,0
,759.5700421228421,759.5700421228421,759.5700421228421,759.5700421228421,759.5700421228421,2023-01-16,0,0,0,0,0,0
,747.7179717239397,747.7179717239397,747.7179717239397,747.7179717239397,747.7179717239397,2023-01-17,0,0,0,0,0,0
,754.8668639240747,754.8668639240747,754.8668639240747,754.8668639240747,754.8668639240747,2023-01-18,0,0,0,0,0,0
,769.9171946591991,769.9171946591991,769.9171946591991,769.9171946591991,769.9171946591991,2023-01-19,0,0,0,0,0,0
,773.2564813178083,773.2564813178083,773.2564813178083,773.2564813178083,773.2564813178083,2023-01-20,0,0,0,0,0,0
,783.6741184175438,783.6741184175438,783.6741184175438,783.6741184175438,783.6741184175438,2023-01-23,0,0,0,0,0,0
,787.8129673822374,787.8129673822374,787.8129673822374,787.8129673822374,787.8129673822374,2023-01-24,0,0,0,0,0,0
,795.5026900470906,795.5026900470906,795.5026900470906,795.5026900470906,795.5026900470906,2023-01-25,0,0,0,0,0,0
,767.5655439290683,767.5655439290683,767.5655439290683,767.5655439290683,767.5655439290683,2023-01-27,0,0,0,0,0,0
,750.1636100625897,750.1636100625897,750.1636100625897,750.1636100625897,750.1636100625897,2023-01-30,0,0,0,0,0,0
