Date,text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
2025-09-01,,0,0,0,0,0,0
2025-09-02,,0,0,0,0,0,0
2025-09-03,,0,0,0,0,0,0
