Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,148.05706787109375,148.05706787109375,148.05706787109375,148.05706787109375,148.05706787109375,2024-09-09,0,0,0,0,0,0
,148.00729370117188,148.00729370117188,148.00729370117188,148.00729370117188,148.00729370117188,2024-09-10,0,0,0,0,0,0
,150.49630737304688,150.49630737304688,150.49630737304688,150.49630737304688,150.49630737304688,2024-09-11,0,0,0,0,0,0
,154.0108184814453,154.0108184814453,154.0108184814453,154.0108184814453,154.0108184814453,2024-09-12,0,0,0,0,0,0
,156.76866149902344,156.76866149902344,156.76866149902344,156.76866149902344,156.76866149902344,2024-09-13,0,0,0,0,0,0
,157.36599731445312,157.36599731445312,157.36599731445312,157.36599731445312,157.36599731445312,2024-09-16,0,0,0,0,0,0
,158.62049865722656,158.62049865722656,158.62049865722656,158.62049865722656,158.62049865722656,2024-09-17,0,0,0,0,0,0
,159.10833740234375,159.10833740234375,159.10833740234375,159.10833740234375,159.10833740234375,2024-09-18,0,0,0,0,0,0
,161.4281005859375,161.4281005859375,161.4281005859375,161.4281005859375,161.4281005859375,2024-09-19,0,0,0,0,0,0
,162.87173461914062,162.87173461914062,162.87173461914062,162.87173461914062,162.87173461914062,2024-09-20,0,0,0,0,0,0
,161.13937377929688,161.13937377929688,161.13937377929688,161.13937377929688,161.13937377929688,2024-09-23,0,0,0,0,0,0
,161.5774383544922,161.5774383544922,161.5774383544922,161.5774383544922,161.5774383544922,2024-09-24,0,0,0,0,0,0
,160.7809600830078,160.7809600830078,160.7809600830078,160.7809600830078,160.7809600830078,2024-09-25,0,0,0,0,0,0
,162.0155029296875,162.0155029296875,162.0155029296875,162.0155029296875,162.0155029296875,2024-09-26,0,0,0,0,0,0
,163.2301483154297,163.2301483154297,163.2301483154297,163.2301483154297,163.2301483154297,2024-09-27,0,0,0,0,0,0
,165.12181091308594,165.12181091308594,165.12181091308594,165.12181091308594,165.12181091308594,2024-09-30,0,0,0,0,0,0
,166.25680541992188,166.25680541992188,166.25680541992188,166.25680541992188,166.25680541992188,2024-10-01,0,0,0,0,0,0
,165.13177490234375,165.13177490234375,165.13177490234375,165.13177490234375,165.13177490234375,2024-10-02,0,0,0,0,0,0
,165.13177490234375,165.13177490234375,165.13177490234375,165.13177490234375,165.13177490234375,2024-10-03,0,0,0,0,0,0
,166.32650756835938,166.32650756835938,166.32650756835938,166.32650756835938,166.32650756835938,2024-10-04,0,0,0,0,0,0
,162.26441955566406,162.26441955566406,162.26441955566406,162.26441955566406,162.26441955566406,2024-10-07,0,0,0,0,0,0
,163.65826416015625,163.65826416015625,163.65826416015625,163.65826416015625,163.65826416015625,2024-10-08,0,0,0,0,0,0
,161.1493377685547,161.1493377685547,161.1493377685547,161.1493377685547,161.1493377685547,2024-10-09,0,0,0,0,0,0
,161.3683624267578,161.3683624267578,161.3683624267578,161.3683624267578,161.3683624267578,2024-10-10,0,0,0,0,0,0
,162.5232696533203,162.5232696533203,162.5232696533203,162.5232696533203,162.5232696533203,2024-10-11,0,0,0,0,0,0
,164.2357177734375,164.2357177734375,164.2357177734375,164.2357177734375,164.2357177734375,2024-10-14,0,0,0,0,0,0
,164.73353576660156,164.73353576660156,164.73353576660156,164.73353576660156,164.73353576660156,2024-10-15,0,0,0,0,0,0
,164.43484497070312,164.43484497070312,164.43484497070312,164.43484497070312,164.43484497070312,2024-10-16,0,0,0,0,0,0
,162.21461486816406,162.21461486816406,162.21461486816406,162.21461486816406,162.21461486816406,2024-10-17,0,0,0,0,0,0
,162.70248413085938,162.70248413085938,162.70248413085938,162.70248413085938,162.70248413085938,2024-10-18,0,0,0,0,0,0
,163.34963989257812,163.34963989257812,163.34963989257812,163.34963989257812,163.34963989257812,2024-10-21,0,0,0,0,0,0
,164.41493225097656,164.41493225097656,164.41493225097656,164.41493225097656,164.41493225097656,2024-10-22,0,0,0,0,0,0
,162.0653076171875,162.0653076171875,162.0653076171875,162.0653076171875,162.0653076171875,2024-10-23,0,0,0,0,0,0
,162.0055389404297,162.0055389404297,162.0055389404297,162.0055389404297,162.0055389404297,2024-10-24,0,0,0,0,0,0
,164.54437255859375,164.54437255859375,164.54437255859375,164.54437255859375,164.54437255859375,2024-10-25,0,0,0,0,0,0
,165.9879913330078,165.9879913330078,165.9879913330078,165.9879913330078,165.9879913330078,2024-10-28,0,0,0,0,0,0
,168.9349822998047,168.9349822998047,168.9349822998047,168.9349822998047,168.9349822998047,2024-10-29,0,0,0,0,0,0
,173.69400024414062,173.69400024414062,173.69400024414062,173.69400024414062,173.69400024414062,2024-10-30,0,0,0,0,0,0
,170.3587188720703,170.3587188720703,170.3587188720703,170.3587188720703,170.3587188720703,2024-10-31,0,0,0,0,0,0
,170.53790283203125,170.53790283203125,170.53790283203125,170.53790283203125,170.53790283203125,2024-11-01,0,0,0,0,0,0
,168.49691772460938,168.49691772460938,168.49691772460938,168.49691772460938,168.49691772460938,2024-11-04,0,0,0,0,0,0
,168.9947509765625,168.9947509765625,168.9947509765625,168.9947509765625,168.9947509765625,2024-11-05,0,0,0,0,0,0
,175.73500061035156,175.73500061035156,175.73500061035156,175.73500061035156,175.73500061035156,2024-11-06,0,0,0,0,0,0
,179.95639038085938,179.95639038085938,179.95639038085938,179.95639038085938,179.95639038085938,2024-11-07,0,0,0,0,0,0
,177.5669403076172,177.5669403076172,177.5669403076172,177.5669403076172,177.5669403076172,2024-11-08,0,0,0,0,0,0
,179.5581512451172,179.5581512451172,179.5581512451172,179.5581512451172,179.5581512451172,2024-11-11,0,0,0,0,0,0
,180.82257080078125,180.82257080078125,180.82257080078125,180.82257080078125,180.82257080078125,2024-11-12,0,0,0,0,0,0
,178.0946044921875,178.0946044921875,178.0946044921875,178.0946044921875,178.0946044921875,2024-11-13,0,0,0,0,0,0
,174.80909729003906,174.80909729003906,174.80909729003906,174.80909729003906,174.80909729003906,2024-11-14,0,0,0,0,0,0
,171.73265075683594,171.73265075683594,171.73265075683594,171.73265075683594,171.73265075683594,2024-11-15,0,0,0,0,0,0
,174.5303192138672,174.5303192138672,174.5303192138672,174.5303192138672,174.5303192138672,2024-11-18,0,0,0,0,0,0
,177.3379364013672,177.3379364013672,177.3379364013672,177.3379364013672,177.3379364013672,2024-11-19,0,0,0,0,0,0
,175.2073211669922,175.2073211669922,175.2073211669922,175.2073211669922,175.2073211669922,2024-11-20,0,0,0,0,0,0
,166.8939971923828,166.8939971923828,166.8939971923828,166.8939971923828,166.8939971923828,2024-11-21,0,0,0,0,0,0
,164.03659057617188,164.03659057617188,164.03659057617188,164.03659057617188,164.03659057617188,2024-11-22,0,0,0,0,0,0
,166.9138946533203,166.9138946533203,166.9138946533203,166.9138946533203,166.9138946533203,2024-11-25,0,0,0,0,0,0
,168.37744140625,168.37744140625,168.37744140625,168.37744140625,168.37744140625,2024-11-26,0,0,0,0,0,0
,168.48696899414062,168.48696899414062,168.48696899414062,168.48696899414062,168.48696899414062,2024-11-27,0,0,0,0,0,0
,168.20819091796875,168.20819091796875,168.20819091796875,168.20819091796875,168.20819091796875,2024-11-29,0,0,0,0,0,0
,170.73704528808594,170.73704528808594,170.73704528808594,170.73704528808594,170.73704528808594,2024-12-02,0,0,0,0,0,0
,170.5876922607422,170.5876922607422,170.5876922607422,170.5876922607422,170.5876922607422,2024-12-03,0,0,0,0,0,0
,173.60438537597656,173.60438537597656,173.60438537597656,173.60438537597656,173.60438537597656,2024-12-04,0,0,0,0,0,0
,171.8820037841797,171.8820037841797,171.8820037841797,171.8820037841797,171.8820037841797,2024-12-05,0,0,0,0,0,0
,173.9429168701172,173.9429168701172,173.9429168701172,173.9429168701172,173.9429168701172,2024-12-06,0,0,0,0,0,0
,174.80010986328125,174.80010986328125,174.80010986328125,174.80010986328125,174.80010986328125,2024-12-09,0,0,0,0,0,0
,184.5682678222656,184.5682678222656,184.5682678222656,184.5682678222656,184.5682678222656,2024-12-10,0,0,0,0,0,0
,194.76502990722656,194.76502990722656,194.76502990722656,194.76502990722656,194.76502990722656,2024-12-11,0,0,0,0,0,0
,191.33621215820312,191.33621215820312,191.33621215820312,191.33621215820312,191.33621215820312,2024-12-12,0,0,0,0,0,0
,189.20315551757807,189.20315551757807,189.20315551757807,189.20315551757807,189.20315551757807,2024-12-13,0,0,0,0,0,0
,196.0209350585937,196.0209350585937,196.0209350585937,196.0209350585937,196.0209350585937,2024-12-16,0,0,0,0,0,0
,194.7849578857422,194.7849578857422,194.7849578857422,194.7849578857422,194.7849578857422,2024-12-17,0,0,0,0,0,0
,187.7877655029297,187.7877655029297,187.7877655029297,187.7877655029297,187.7877655029297,2024-12-18,0,0,0,0,0,0
,187.8974151611328,187.8974151611328,187.8974151611328,187.8974151611328,187.8974151611328,2024-12-19,0,0,0,0,0,0
,190.7879943847656,190.7879943847656,190.7879943847656,190.7879943847656,190.7879943847656,2024-12-20,0,0,0,0,0,0
,193.9975433349609,193.9975433349609,193.9975433349609,193.9975433349609,193.9975433349609,2024-12-23,0,0,0,0,0,0
,195.47271728515625,195.47271728515625,195.47271728515625,195.47271728515625,195.47271728515625,2024-12-24,0,0,0,0,0,0
,194.96438598632807,194.96438598632807,194.96438598632807,194.96438598632807,194.96438598632807,2024-12-26,0,0,0,0,0,0
,192.1335906982422,192.1335906982422,192.1335906982422,192.1335906982422,192.1335906982422,2024-12-27,0,0,0,0,0,0
,190.6185607910156,190.6185607910156,190.6185607910156,190.6185607910156,190.6185607910156,2024-12-30,0,0,0,0,0,0
,188.6848602294922,188.6848602294922,188.6848602294922,188.6848602294922,188.6848602294922,2024-12-31,0,0,0,0,0,0
,188.81442260742188,188.81442260742188,188.81442260742188,188.81442260742188,188.81442260742188,2025-01-02,0,0,0,0,0,0
,191.166748046875,191.166748046875,191.166748046875,191.166748046875,191.166748046875,2025-01-03,0,0,0,0,0,0
,196.23025512695312,196.23025512695312,196.23025512695312,196.23025512695312,196.23025512695312,2025-01-06,0,0,0,0,0,0
,194.854736328125,194.854736328125,194.854736328125,194.854736328125,194.854736328125,2025-01-07,0,0,0,0,0,0
,193.3197479248047,193.3197479248047,193.3197479248047,193.3197479248047,193.3197479248047,2025-01-08,0,0,0,0,0,0
,191.4159240722656,191.4159240722656,191.4159240722656,191.4159240722656,191.4159240722656,2025-01-10,0,0,0,0,0,0
,190.3892974853516,190.3892974853516,190.3892974853516,190.3892974853516,190.3892974853516,2025-01-13,0,0,0,0,0,0
,189.04367065429688,189.04367065429688,189.04367065429688,189.04367065429688,189.04367065429688,2025-01-14,0,0,0,0,0,0
,194.9145355224609,194.9145355224609,194.9145355224609,194.9145355224609,194.9145355224609,2025-01-15,0,0,0,0,0,0
,192.2831115722656,192.2831115722656,192.2831115722656,192.2831115722656,192.2831115722656,2025-01-16,0,0,0,0,0,0
,195.3630828857422,195.3630828857422,195.3630828857422,195.3630828857422,195.3630828857422,2025-01-17,0,0,0,0,0,0
,197.4064178466797,197.4064178466797,197.4064178466797,197.4064178466797,197.4064178466797,2025-01-21,0,0,0,0,0,0
,197.72537231445312,197.72537231445312,197.72537231445312,197.72537231445312,197.72537231445312,2025-01-22,0,0,0,0,0,0
,197.336654663086,197.336654663086,197.336654663086,197.336654663086,197.336654663086,2025-01-23,0,0,0,0,0,0
,199.5594024658203,199.5594024658203,199.5594024658203,199.5594024658203,199.5594024658203,2025-01-24,0,0,0,0,0,0
,191.18670654296875,191.18670654296875,191.18670654296875,191.18670654296875,191.18670654296875,2025-01-27,0,0,0,0,0,0
,194.6653594970703,194.6653594970703,194.6653594970703,194.6653594970703,194.6653594970703,2025-01-28,0,0,0,0,0,0
,194.7749938964844,194.7749938964844,194.7749938964844,194.7749938964844,194.7749938964844,2025-01-29,0,0,0,0,0,0
,200.21725463867188,200.21725463867188,200.21725463867188,200.21725463867188,200.21725463867188,2025-01-30,0,0,0,0,0,0
,203.3570251464844,203.3570251464844,203.3570251464844,203.3570251464844,203.3570251464844,2025-01-31,0,0,0,0,0,0
,200.5760803222656,200.5760803222656,200.5760803222656,200.5760803222656,200.5760803222656,2025-02-03,0,0,0,0,0,0
,205.7093505859375,205.7093505859375,205.7093505859375,205.7093505859375,205.7093505859375,2025-02-04,0,0,0,0,0,0
,190.7082672119141,190.7082672119141,190.7082672119141,190.7082672119141,190.7082672119141,2025-02-05,0,0,0,0,0,0
,190.9773864746093,190.9773864746093,190.9773864746093,190.9773864746093,190.9773864746093,2025-02-06,0,0,0,0,0,0
,184.7377014160156,184.7377014160156,184.7377014160156,184.7377014160156,184.7377014160156,2025-02-07,0,0,0,0,0,0
,185.86404418945312,185.86404418945312,185.86404418945312,185.86404418945312,185.86404418945312,2025-02-10,0,0,0,0,0,0
,184.71778869628903,184.71778869628903,184.71778869628903,184.71778869628903,184.71778869628903,2025-02-11,0,0,0,0,0,0
,183.01333618164065,183.01333618164065,183.01333618164065,183.01333618164065,183.01333618164065,2025-02-12,0,0,0,0,0,0
,185.5351104736328,185.5351104736328,185.5351104736328,185.5351104736328,185.5351104736328,2025-02-13,0,0,0,0,0,0
,184.62808227539065,184.62808227539065,184.62808227539065,184.62808227539065,184.62808227539065,2025-02-14,0,0,0,0,0,0
,183.1728363037109,183.1728363037109,183.1728363037109,183.1728363037109,183.1728363037109,2025-02-18,0,0,0,0,0,0
,184.6679534912109,184.6679534912109,184.6679534912109,184.6679534912109,184.6679534912109,2025-02-19,0,0,0,0,0,0
,183.9602508544922,183.9602508544922,183.9602508544922,183.9602508544922,183.9602508544922,2025-02-20,0,0,0,0,0,0
,179.076171875,179.076171875,179.076171875,179.076171875,179.076171875,2025-02-21,0,0,0,0,0,0
,178.66751098632812,178.66751098632812,178.66751098632812,178.66751098632812,178.66751098632812,2025-02-24,0,0,0,0,0,0
,174.84994506835938,174.84994506835938,174.84994506835938,174.84994506835938,174.84994506835938,2025-02-25,0,0,0,0,0,0
,172.16868591308594,172.16868591308594,172.16868591308594,172.16868591308594,172.16868591308594,2025-02-26,0,0,0,0,0,0
,167.9524383544922,167.9524383544922,167.9524383544922,167.9524383544922,167.9524383544922,2025-02-27,0,0,0,0,0,0
,169.72665405273438,169.72665405273438,169.72665405273438,169.72665405273438,169.72665405273438,2025-02-28,0,0,0,0,0,0
,166.46726989746094,166.46726989746094,166.46726989746094,166.46726989746094,166.46726989746094,2025-03-03,0,0,0,0,0,0
,170.3645782470703,170.3645782470703,170.3645782470703,170.3645782470703,170.3645782470703,2025-03-04,0,0,0,0,0,0
,172.457763671875,172.457763671875,172.457763671875,172.457763671875,172.457763671875,2025-03-05,0,0,0,0,0,0
,171.78994750976562,171.78994750976562,171.78994750976562,171.78994750976562,171.78994750976562,2025-03-06,0,0,0,0,0,0
,173.29502868652344,173.29502868652344,173.29502868652344,173.29502868652344,173.29502868652344,2025-03-07,0,0,0,0,0,0
,165.52139282226562,165.52139282226562,165.52139282226562,165.52139282226562,165.52139282226562,2025-03-10,0,0,0,0,0,0
,163.6952362060547,163.6952362060547,163.6952362060547,163.6952362060547,163.6952362060547,2025-03-11,0,0,0,0,0,0
,166.7587890625,166.7587890625,166.7587890625,166.7587890625,166.7587890625,2025-03-12,0,0,0,0,0,0
,162.41793823242188,162.41793823242188,162.41793823242188,162.41793823242188,162.41793823242188,2025-03-13,0,0,0,0,0,0
,165.14219665527344,165.14219665527344,165.14219665527344,165.14219665527344,165.14219665527344,2025-03-14,0,0,0,0,0,0
,163.9447021484375,163.9447021484375,163.9447021484375,163.9447021484375,163.9447021484375,2025-03-17,0,0,0,0,0,0
,160.3323211669922,160.3323211669922,160.3323211669922,160.3323211669922,160.3323211669922,2025-03-18,0,0,0,0,0,0
,163.54556274414062,163.54556274414062,163.54556274414062,163.54556274414062,163.54556274414062,2025-03-19,0,0,0,0,0,0
,162.45785522460938,162.45785522460938,162.45785522460938,162.45785522460938,162.45785522460938,2025-03-20,0,0,0,0,0,0
,163.64535522460938,163.64535522460938,163.64535522460938,163.64535522460938,163.64535522460938,2025-03-21,0,0,0,0,0,0
,167.3275909423828,167.3275909423828,167.3275909423828,167.3275909423828,167.3275909423828,2025-03-24,0,0,0,0,0,0
