Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,1847.328125,1847.328125,1847.328125,1847.328125,1847.328125,2024-09-09,0,0,0,0,0,0
,1864.5372314453125,1864.5372314453125,1864.5372314453125,1864.5372314453125,1864.5372314453125,2024-09-10,0,0,0,0,0,0
,1862.44091796875,1862.44091796875,1862.44091796875,1862.44091796875,1862.44091796875,2024-09-11,0,0,0,0,0,0
,1901.734375,1901.734375,1901.734375,1901.734375,1901.734375,2024-09-12,0,0,0,0,0,0
,1895.5428466796875,1895.5428466796875,1895.5428466796875,1895.5428466796875,1895.5428466796875,2024-09-13,0,0,0,0,0,0
,1901.539306640625,1901.539306640625,1901.539306640625,1901.539306640625,1901.539306640625,2024-09-16,0,0,0,0,0,0
,1903.781982421875,1903.781982421875,1903.781982421875,1903.781982421875,1903.781982421875,2024-09-17,0,0,0,0,0,0
,1844.8905029296875,1844.8905029296875,1844.8905029296875,1844.8905029296875,1844.8905029296875,2024-09-18,0,0,0,0,0,0
,1846.88916015625,1846.88916015625,1846.88916015625,1846.88916015625,1846.88916015625,2024-09-19,0,0,0,0,0,0
,1858.1507568359373,1858.1507568359373,1858.1507568359373,1858.1507568359373,1858.1507568359373,2024-09-20,0,0,0,0,0,0
,1849.0830078125,1849.0830078125,1849.0830078125,1849.0830078125,1849.0830078125,2024-09-23,0,0,0,0,0,0
,1851.1793212890625,1851.1793212890625,1851.1793212890625,1851.1793212890625,1851.1793212890625,2024-09-24,0,0,0,0,0,0
,1847.9619140625,1847.9619140625,1847.9619140625,1847.9619140625,1847.9619140625,2024-09-25,0,0,0,0,0,0
,1852.7880859375,1852.7880859375,1852.7880859375,1852.7880859375,1852.7880859375,2024-09-26,0,0,0,0,0,0
,1859.1258544921875,1859.1258544921875,1859.1258544921875,1859.1258544921875,1859.1258544921875,2024-09-27,0,0,0,0,0,0
,1828.75390625,1828.75390625,1828.75390625,1828.75390625,1828.75390625,2024-09-30,0,0,0,0,0,0
,1856.7857666015625,1856.7857666015625,1856.7857666015625,1856.7857666015625,1856.7857666015625,2024-10-01,0,0,0,0,0,0
,1846.1092529296875,1846.1092529296875,1846.1092529296875,1846.1092529296875,1846.1092529296875,2024-10-03,0,0,0,0,0,0
,1870.2410888671875,1870.2410888671875,1870.2410888671875,1870.2410888671875,1870.2410888671875,2024-10-04,0,0,0,0,0,0
,1885.98779296875,1885.98779296875,1885.98779296875,1885.98779296875,1885.98779296875,2024-10-07,0,0,0,0,0,0
,1899.8818359375,1899.8818359375,1899.8818359375,1899.8818359375,1899.8818359375,2024-10-08,0,0,0,0,0,0
,1903.976806640625,1903.976806640625,1903.976806640625,1903.976806640625,1903.976806640625,2024-10-09,0,0,0,0,0,0
,1871.06982421875,1871.06982421875,1871.06982421875,1871.06982421875,1871.06982421875,2024-10-10,0,0,0,0,0,0
,1886.7677001953125,1886.7677001953125,1886.7677001953125,1886.7677001953125,1886.7677001953125,2024-10-11,0,0,0,0,0,0
,1909.9732666015625,1909.9732666015625,1909.9732666015625,1909.9732666015625,1909.9732666015625,2024-10-14,0,0,0,0,0,0
,1910.36328125,1910.36328125,1910.36328125,1910.36328125,1910.36328125,2024-10-15,0,0,0,0,0,0
,1872.142333984375,1872.142333984375,1872.142333984375,1872.142333984375,1872.142333984375,2024-10-16,0,0,0,0,0,0
,1918.9434814453125,1918.9434814453125,1918.9434814453125,1918.9434814453125,1918.9434814453125,2024-10-17,0,0,0,0,0,0
,1832.6539306640625,1832.6539306640625,1832.6539306640625,1832.6539306640625,1832.6539306640625,2024-10-18,0,0,0,0,0,0
,1806.474609375,1806.474609375,1806.474609375,1806.474609375,1806.474609375,2024-10-21,0,0,0,0,0,0
,1805.353271484375,1805.353271484375,1805.353271484375,1805.353271484375,1805.353271484375,2024-10-22,0,0,0,0,0,0
,1826.6087646484373,1826.6087646484373,1826.6087646484373,1826.6087646484373,1826.6087646484373,2024-10-23,0,0,0,0,0,0
,1816.8096923828125,1816.8096923828125,1816.8096923828125,1816.8096923828125,1816.8096923828125,2024-10-24,0,0,0,0,0,0
,1815.542236328125,1815.542236328125,1815.542236328125,1815.542236328125,1815.542236328125,2024-10-25,0,0,0,0,0,0
,1818.759765625,1818.759765625,1818.759765625,1818.759765625,1818.759765625,2024-10-28,0,0,0,0,0,0
,1813.7799072265625,1813.7799072265625,1813.7799072265625,1813.7799072265625,1813.7799072265625,2024-10-29,0,0,0,0,0,0
,1777.0960693359375,1777.0960693359375,1777.0960693359375,1777.0960693359375,1777.0960693359375,2024-10-30,0,0,0,0,0,0
,1732.868408203125,1732.868408203125,1732.868408203125,1732.868408203125,1732.868408203125,2024-10-31,0,0,0,0,0,0
