Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,Date,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_strength,positive_ratio,negative_ratio
,402.6967468261719,402.6967468261719,402.6967468261719,402.6967468261719,402.6967468261719,2024-09-09,0,0,0,0,0,0
,411.1135559082031,411.1135559082031,411.1135559082031,411.1135559082031,411.1135559082031,2024-09-10,0,0,0,0,0,0
,419.8876953125,419.8876953125,419.8876953125,419.8876953125,419.8876953125,2024-09-11,0,0,0,0,0,0
,423.8181762695313,423.8181762695313,423.8181762695313,423.8181762695313,423.8181762695313,2024-09-12,0,0,0,0,0,0
,427.3814086914063,427.3814086914063,427.3814086914063,427.3814086914063,427.3814086914063,2024-09-13,0,0,0,0,0,0
,428.1258239746094,428.1258239746094,428.1258239746094,428.1258239746094,428.1258239746094,2024-09-16,0,0,0,0,0,0
,431.9074096679688,431.9074096679688,431.9074096679688,431.9074096679688,431.9074096679688,2024-09-17,0,0,0,0,0,0
,427.5997924804688,427.5997924804688,427.5997924804688,427.5997924804688,427.5997924804688,2024-09-18,0,0,0,0,0,0
,435.4210815429688,435.4210815429688,435.4210815429688,435.4210815429688,435.4210815429688,2024-09-19,0,0,0,0,0,0
,432.0264892578125,432.0264892578125,432.0264892578125,432.0264892578125,432.0264892578125,2024-09-20,0,0,0,0,0,0
,430.2796630859375,430.2796630859375,430.2796630859375,430.2796630859375,430.2796630859375,2024-09-23,0,0,0,0,0,0
,425.9720153808594,425.9720153808594,425.9720153808594,425.9720153808594,425.9720153808594,2024-09-24,0,0,0,0,0,0
,428.89007568359375,428.89007568359375,428.89007568359375,428.89007568359375,428.89007568359375,2024-09-25,0,0,0,0,0,0
,428.0960388183594,428.0960388183594,428.0960388183594,428.0960388183594,428.0960388183594,2024-09-26,0,0,0,0,0,0
,424.8305358886719,424.8305358886719,424.8305358886719,424.8305358886719,424.8305358886719,2024-09-27,0,0,0,0,0,0
,427.0935668945313,427.0935668945313,427.0935668945313,427.0935668945313,427.0935668945313,2024-09-30,0,0,0,0,0,0
,417.5552062988281,417.5552062988281,417.5552062988281,417.5552062988281,417.5552062988281,2024-10-01,0,0,0,0,0,0
,414.021728515625,414.021728515625,414.021728515625,414.021728515625,414.021728515625,2024-10-02,0,0,0,0,0,0
,413.4361267089844,413.4361267089844,413.4361267089844,413.4361267089844,413.4361267089844,2024-10-03,0,0,0,0,0,0
,412.959716796875,412.959716796875,412.959716796875,412.959716796875,412.959716796875,2024-10-04,0,0,0,0,0,0
,406.48828125,406.48828125,406.48828125,406.48828125,406.48828125,2024-10-07,0,0,0,0,0,0
,411.6197509765625,411.6197509765625,411.6197509765625,411.6197509765625,411.6197509765625,2024-10-08,0,0,0,0,0,0
,414.3492431640625,414.3492431640625,414.3492431640625,414.3492431640625,414.3492431640625,2024-10-09,0,0,0,0,0,0
,412.7413024902344,412.7413024902344,412.7413024902344,412.7413024902344,412.7413024902344,2024-10-10,0,0,0,0,0,0
,413.2177734375,413.2177734375,413.2177734375,413.2177734375,413.2177734375,2024-10-11,0,0,0,0,0,0
,416.0167236328125,416.0167236328125,416.0167236328125,416.0167236328125,416.0167236328125,2024-10-14,0,0,0,0,0,0
