Price,Open,High,Low,Close,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2023-01-02,2465.1674800429623,2471.0578183179578,2430.8320760241236,2450.322265625,681703
2023-01-03,2442.324887138332,2453.7700206017207,2427.9106175743023,2434.662841796875,821843
2023-01-04,2442.75594419489,2450.322120791148,2420.2966195071126,2428.96435546875,1672649
2023-01-05,2430.352893001794,2482.4547067576273,2430.304958453949,2474.55322265625,2008493
2023-01-06,2471.009454153878,2501.561764339146,2466.1248070508927,2467.609375,991782
2023-01-09,2479.964897483789,2518.370762029879,2461.432230543996,2513.198974609375,1267078
2023-01-10,2513.1987449945536,2541.2610321357643,2504.6268787441504,2532.162353515625,1413088
2023-01-11,2532.306052597489,2535.9935055468127,2478.7676028831593,2483.699951171875,1471687
2023-01-12,2476.8521655707195,2492.6551349797364,2464.0660331544104,2480.63525390625,1703829
2023-01-13,2480.7789314800148,2527.756898438058,2458.223736487556,2513.151123046875,1348015
2023-01-16,2516.9343216078087,2516.9343216078087,2474.8410007330517,2487.3876953125,930068
2023-01-17,2495.384842595419,2561.9968063252973,2491.8891273998725,2554.861572265625,1892865
2023-01-18,2555.2920387087684,2579.714807444553,2547.629993615189,2572.72314453125,2038075
2023-01-19,2557.303408941623,2566.1147139989066,2501.5618440450976,2537.81298828125,1649842
2023-01-20,2442.2772728666014,2494.9538414970575,2428.916626315751,2441.080078125,4569549
2023-01-23,2451.8545830530443,2493.9958336992686,2444.1925374810035,2486.716796875,1388360
2023-01-24,2493.9956994448185,2499.742233314507,2471.7758152474353,2490.6435546875,1462462
2023-01-25,2490.6439869172245,2530.390853080295,2484.4185741446954,2511.571044921875,1591810
2023-01-27,2524.165203293354,2534.7484507783265,2469.2857537016394,2501.801513671875,1581382
2023-01-30,2499.742324991905,2499.742324991905,2423.3133749566236,2459.66015625,2744039
2023-01-31,2459.5166103740175,2480.7787399132385,2433.848711132737,2467.89697265625,2366794
2023-02-01,2490.3563999507082,2493.0381627575084,2439.260272101313,2465.502685546875,2014615
2023-02-02,2460.953295465138,2528.2356340549127,2454.727883353629,2523.542724609375,1980667
2023-02-03,2528.4751061821617,2545.1878967663206,2519.998874511287,2536.85546875,1638238
2023-02-06,2519.8554760862344,2533.2640571068373,2489.925607736673,2526.1767578125,1697446
2023-02-07,2533.263709328862,2533.7905217049106,2485.6633000059405,2491.31396484375,1495745
2023-02-08,2483.173093909701,2497.347924677117,2469.429440258055,2473.69140625,1061956
2023-02-09,2477.713887134675,2490.068841591494,2457.601018317579,2477.426513671875,1102484
2023-02-10,2475.798401885306,2477.3786052067458,2447.4010398587247,2468.615234375,1523011
2023-02-13,2451.854659046881,2481.305647627229,2442.277101784979,2471.967529296875,1146525
2023-02-14,2475.798496258107,2492.0803432354332,2461.6236650653727,2470.626708984375,1944364
2023-02-15,2442.276804288299,2463.155923341351,2429.8259813644763,2440.792236328125,2009134
2023-02-16,2451.854550892754,2453.6741931614165,2416.2740207651195,2420.344482421875,1982857
2023-02-17,2418.3332988789816,2438.6856088200425,2400.9978260571716,2409.234619140625,1395341
2023-02-20,2411.628815253265,2435.572707382468,2402.2427627732036,2405.35546875,632091
2023-02-21,2421.2066775663075,2436.482835906577,2406.1699581775383,2409.857177734375,862797
2023-02-22,2409.8569347099165,2416.944467255823,2377.867987546337,2388.690673828125,885515
2023-02-23,2386.727145725292,2409.617412861733,2375.329946706308,2385.43408203125,757215
