date,open,high,low,close,volume,price,open_norm,high_norm,low_norm,close_norm,volume_norm,price_norm
2023-01-02,3261.0,3266.85009765625,3235.199951171875,3261.449951171875,709547,3261.449951171875,0.16076323826873762,0.15431494506699633,0.1602209084202829,0.16666126143599871,0.05252338338627024,0.16666126143599871
2023-01-03,3252.0,3320.0,3245.300048828125,3311.35009765625,1245178,3311.35009765625,0.15501941252304838,0.1882277875259212,0.16686396176478807,0.19883933429389006,0.09217283911869009,0.19883933429389006
2023-01-04,3306.699951171875,3327.35009765625,3286.199951171875,3314.64990234375,1231668,3314.64990234375,0.1899290778373773,0.19291759301722763,0.193764714836859,0.20096721092616476,0.09117277723477189,0.20096721092616476
2023-01-05,3330.199951171875,3337.300048828125,3281.949951171875,3311.10009765625,1826057,3311.10009765625,0.20492684506223258,0.1992662618140852,0.19096939763547766,0.19867812197726906,0.1351717249120671,0.19867812197726906
2023-01-06,3300.0,3301.550048828125,3200.0,3211.550048828125,2488376,3211.550048828125,0.18565314983339104,0.17645560620713033,0.13706913689121802,0.1344833460120103,0.18419911106268308,0.1344833460120103
2023-01-09,3229.0,3327.0,3221.14990234375,3319.949951171875,2885060,3319.949951171875,0.14034074672850919,0.19269420960280748,0.15097988649804628,0.20438494352531034,0.21356317829881996,0.20438494352531034
2023-01-10,3285.0,3298.0,3230.10009765625,3286.39990234375,3864655,3286.39990234375,0.17608010692390896,0.17419046099856436,0.1568666241245766,0.18275021914799292,0.2860765477419624,0.18275021914799292
2023-01-11,3290.10009765625,3349.5,3271.14990234375,3328.699951171875,2720512,3328.699951171875,0.17933500383763096,0.20705056627851331,0.18386597122017972,0.210027374607045,0.20138270584323353,0.210027374607045
2023-01-12,3329.0,3350.0,3315.550048828125,3334.35009765625,2250391,3334.35009765625,0.20416103279172307,0.20736959642686234,0.21306891079938556,0.21367086742302113,0.1665825509261713,0.21367086742302113
2023-01-13,3342.89990234375,3379.0,3305.0,3374.550048828125,1742837,3374.550048828125,0.21303199023001168,0.22587334503110543,0.2061299148076983,0.2395937764488957,0.12901146214525192,0.2395937764488957
2023-01-16,3317.0,3353.0,3298.050048828125,3334.050048828125,1843607,3334.050048828125,0.1965025984641374,0.20928377731695647,0.20155878114663886,0.21347738115629533,0.1364708430514279,0.21347738115629533
2023-01-17,3330.0,3381.800048828125,3321.0,3378.39990234375,1688475,3378.39990234375,0.2047992356523552,0.22765994501714787,0.21665346191878102,0.24207635166451716,0.12498737893773441,0.24207635166451716
2023-01-18,3380.0,3408.949951171875,3372.25,3390.0,2421189,3390.0,0.23670937868396213,0.24498321976192375,0.2503616987589678,0.24955666612929228,0.17922567229178651,0.24955666612929228
2023-01-19,3380.0,3387.0,3361.0,3373.10009765625,1585044,3373.10009765625,0.23670937868396213,0.23097782740468975,0.24296232969648776,0.23865877649927456,0.11733102063162458,0.23865877649927456
2023-01-20,3365.0,3394.64990234375,3355.60009765625,3363.10009765625,1529349,3363.10009765625,0.22713633577448006,0.2358589263638539,0.2394106967771316,0.23221028383443496,0.11320826366457613,0.23221028383443496
2023-01-23,3388.0,3419.0,3355.60009765625,3414.89990234375,1067916,3414.89990234375,0.24181500156901925,0.25139575689902693,0.2394106967771316,0.2656133498911817,0.07905122774436671,0.2656133498911817
2023-01-24,3425.0,3451.949951171875,3417.300048828125,3436.300048828125,1387863,3436.300048828125,0.26542850741240837,0.2724198125199394,0.27999209320892715,0.2794132186542802,0.10273492867508308,0.2794132186542802
2023-01-25,3425.300048828125,3435.0,3405.0,3429.75,874110,3429.75,0.2656199994328471,0.2616047216461956,0.2719020842519652,0.27518942447202965,0.06470496619924075,0.27518942447202965
2023-01-27,3426.0,3446.0,3382.300048828125,3411.050048828125,1785879,3411.050048828125,0.2660667102730405,0.268623384909874,0.25697183390343376,0.26313077467556023,0.1321975956469253,0.26313077467556023
2023-01-30,3420.0,3458.449951171875,3385.550048828125,3433.64990234375,1953798,3433.64990234375,0.26223749310924765,0.27656720444847666,0.2591094294103724,0.2777042736377559,0.14462760241862488,0.2777042736377559
2023-01-31,3449.0,3449.0,3351.0,3358.699951171875,2820375,3358.699951171875,0.2807453760675797,0.27053756579996807,0.2363851127520611,0.22937285260156376,0.20877494713958614,0.22937285260156376
2023-02-01,3363.0,3419.0,3355.0,3408.35009765625,2205161,3408.35009765625,0.22585993005321578,0.25139575689902693,0.23901599952983177,0.2613897131428341,0.16323445329407504,0.2613897131428341
2023-02-02,3427.0,3469.0,3420.10009765625,3460.39990234375,1813847,3460.39990234375,0.26670491313367267,0.28329877173392887,0.2818337460686837,0.29495399151620183,0.13426789400143488,0.29495399151620183
2023-02-03,3504.0,3504.0,3452.89990234375,3482.300048828125,1804469,3482.300048828125,0.3158465334023473,0.3056308821183602,0.30340688918513486,0.3090762849125423,0.1335736985649149,0.3090762849125423
