date,open,high,low,close,volume,price,open_norm,high_norm,low_norm,close_norm,volume_norm,price_norm
2023-01-03,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,112117500,125.06999969482422,0.03230440787719688,0.02365296629373749,0.0,0.00037315712391623447,0.30084360822243855,0.00037315712391623447
2023-01-04,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,89113600,126.36000061035156,0.006657567342913001,0.006725662778018421,0.006818549500453614,0.010000030175965163,0.22298179154712955,0.010000030175965163
2023-01-05,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,80962700,125.0199966430664,0.008473257032846628,0.0,0.0044208297437756065,0.0,0.1953932573621098,0.0
2023-01-06,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,87754700,129.6199951171875,0.0,0.019043274109487484,0.005394883744062581,0.034328348776310524,0.21838229221527378,0.034328348776310524
2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,70790800,130.14999389648438,0.03374186014658388,0.04262077091990728,0.0428592906709991,0.038283563772375975,0.16096419911374427,0.038283563772375975
2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,63896200,130.72999572753906,0.032153066733190586,0.02637344225999335,0.029596858605820543,0.042611935892357664,0.13762789173762174,0.042611935892357664
2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,69458900,133.49000549316406,0.039642894928669084,0.043376388221940704,0.0471302879401722,0.06320902486824063,0.15645608728793023,0.06320902486824063
2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,71379600,133.41000366210938,0.05954004182487405,0.04904403687592315,0.05447327968480872,0.06261199624428798,0.16295712368994317,0.06261199624428798
2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,57809700,134.75999450683594,0.045543929710754286,0.0540315953654934,0.05612172273617765,0.07268655536062642,0.1170267785701037,0.07268655536062642
2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,63646600,135.94000244140625,0.06672718773233997,0.07194132821332369,0.07462914890466801,0.08149258522446962,0.13678306501510262,0.08149258522446962
2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,69672800,135.2100067138672,0.08178245697556556,0.08191644519246419,0.08137269641859798,0.07604485560430588,0.15718007941912748,0.07604485560430588
2023-01-19,134.0800018310547,136.25,133.77000427246094,135.27000427246094,58280400,135.27000427246094,0.06105310694652965,0.06408223948225512,0.07193170703263672,0.0764925986043787,0.11861996742543118,0.0764925986043787
2023-01-20,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,80223600,137.8699951171875,0.07013161311593234,0.07745792259206369,0.07530348078960171,0.09589551646078973,0.19289160900227859,0.09589551646078973
2023-01-23,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,81760300,141.11000061035156,0.09161743798606149,0.11750932947526109,0.10287722940832465,0.12007466330882191,0.1980929119850314,0.12007466330882191
2023-01-24,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,66435100,142.52999877929688,0.10818577235094268,0.11630020342167914,0.1208602133326321,0.1306716651729564,0.1462213635557457,0.1306716651729564
2023-01-25,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,65799300,141.86000061035156,0.11257374201137228,0.11078360904293914,0.10969577890877827,0.12567167855286548,0.14406935702458526,0.12567167855286548
2023-01-26,143.1699981689453,144.25,141.89999389648438,143.9600067138672,54105100,143.9600067138672,0.12982293836507813,0.12453715845806794,0.13284875494987386,0.1413433667848141,0.1044877357966892,0.1413433667848141
