date,open,high,low,close,volume,price,open_norm,high_norm,low_norm,close_norm,volume_norm,price_norm
2023-01-03,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800,108.0999984741211,0.041485656942642744,0.018710695325981005,0.007956147691688906,0.0,0.7209302843484038,0.0
2023-01-04,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000,113.63999938964844,0.016385091741373627,0.007537345135180338,0.016052850403472055,0.014902090356899338,0.5315856478474369,0.014902090356899338
2023-01-05,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300,110.33999633789062,0.02013945363140772,0.0,0.015040781332337187,0.006025387192914859,0.448434988846535,0.006025387192914859
2023-01-06,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100,113.05999755859375,0.0,0.007006553596905397,0.0,0.013341939045494494,0.6819889170560791,0.013341939045494494
2023-01-09,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000,119.7699966430664,0.042799676443285466,0.03123754976550329,0.04301378275706275,0.03139121632472129,0.5683122821733854,0.03139121632472129
2023-01-10,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500,118.8499984741211,0.04845803161863387,0.0292205257213391,0.03685690233465899,0.028916506292927018,0.4842752845896601,0.028916506292927018
2023-01-11,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800,123.22000122070312,0.05119334044073472,0.03768676617270022,0.05257240353073867,0.04067140972749889,0.544286122565631,0.04067140972749889
2023-01-12,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900,123.55999755859375,0.0524537352607829,0.032856490280160904,0.04270453168431458,0.041585968447888325,0.4908018246400641,0.041585968447888325
2023-01-13,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100,122.4000015258789,0.03633682830126096,0.028875492997901053,0.03876862648939418,0.03846568634744468,0.5327923005830979,0.03846568634744468
2023-01-17,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000,131.49000549316406,0.06087422182834259,0.05294725575469631,0.06525161171758277,0.06291695675886169,0.5541820854195818,0.06291695675886169
2023-01-18,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,195680300,128.77999877929688,0.08999731324187117,0.06616415539269543,0.07084622916169409,0.055627289205799825,0.58834138139654,0.055627289205799825
