Price,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_10,EMA_50,RSI,Open_Norm,High_Norm,Low_Norm,Close_Norm,Volume_Norm
Ticker,402.6967468261719,405.6049064318399,399.1533416913916,404.2054095225525,15295100.0,,,402.6967468261719,402.6967468261719,,-0.7551732454894544,-0.8217716408437826,-0.7816809561677557,-0.8036675515290023,-0.752489640813923
Date,402.6967468261719,405.6049064318399,399.1533416913916,404.2054095225525,15295100.0,,,402.6967468261719,402.6967468261719,,-0.7551732454894544,-0.8217716408437826,-0.7816809561677557,-0.8036675515290023,-0.752489640813923
2024-09-09,402.6967468261719,405.6049064318399,399.1533416913916,404.2054095225525,15295100.0,,,402.6967468261719,402.6967468261719,,-0.7551732454894544,-0.8217716408437826,-0.7816809561677557,-0.8036675515290023,-0.752489640813923
2024-09-10,411.1135559082031,413.2276585385216,404.6619913629379,405.1582655587275,19594300.0,,,404.2270757501776,403.0268177705652,,-0.7337429890797361,-0.6477162249121329,-0.6579868486845188,-0.6117761238224392,-0.2382666644105297
2024-09-11,419.8876953125,420.83059814465895,406.527971667463,412.4038716868024,19266900.0,,,407.07446112514526,403.6880286545627,,-0.5707853215271659,-0.4741132011053532,-0.6160871487377725,-0.4117380665518548,-0.2774266482387933
2024-09-12,423.8181762695313,424.18541433930886,416.6222002087488,420.1556701684846,17395700.0,,,410.1187729695791,404.4774462080909,,-0.3964431094908461,-0.3975104308772376,-0.3894260494495931,-0.3221286201372551,-0.5012389931973972
2024-09-13,427.3814086914063,428.61215900524985,422.2896305914577,422.6568686502548,15874600.0,,,413.2574340099113,405.3756408152797,,-0.340189779752704,-0.2964315982889144,-0.2621665966414833,-0.2408919246128632,-0.6831762302199132
2024-09-16,428.1258239746094,430.2995073976486,425.0290778075874,427.3913478501723,13834700.0,,,415.9607776398564,406.2678048607437,,-0.2337087381590591,-0.2579032397446128,-0.2006536127705229,-0.2239203015062656,-0.9271666120503194
2024-09-17,431.9074096679688,438.55749574787575,429.0488655654436,436.9495722627484,18874200.0,,,418.8601652813314,407.2732795590663,,-0.0187390132409199,-0.0693430482361422,-0.1103911911922618,-0.1377054580161562,-0.3243970992142336
2024-09-18,427.5997924804688,432.7808965666544,427.2027791611413,431.7585728815533,18898000.0,417.7924102783203,,420.4491884084472,408.0703977128468,,-0.1354874448384773,-0.2012440151161462,-0.1518441830745739,-0.2359130808892203,-0.321550405215722
2024-09-19,435.4210815429688,438.2101402616237,433.64441133789575,437.9421630848395,21706600.0,421.06484375,,423.1713507965421,409.14297354932216,,0.0035849003617403,-0.0772744492301151,-0.0072003973289325,-0.0575986733647655,0.0143834084069449
2024-09-20,432.0264892578125,435.9669072352066,430.98432565496967,433.961970566144,55167100.0,423.99781799316406,,424.7813759713185,410.04036632220414,,-0.0859318188460065,-0.1284956947829378,-0.0669313557302343,-0.1349906105860772,4.016560069633623
2024-09-23,430.2796630859375,433.2076626680782,427.1829169494896,431.0439144432746,15128900.0,426.7561096191406,,425.7810645376129,410.8340642345074,,-0.1515605062414984,-0.1914993782383786,-0.1522901795872199,-0.1748157943118068,-0.77236865520689
2024-09-24,425.9720153808594,430.1208604741096,422.9248844858402,429.7734624718136,17015800.0,428.2419555664063,,425.81578287274857,411.4277093775016,72.91385507435515,-0.180133669942001,-0.2619824048737317,-0.2479022726826067,-0.2730241129427976,-0.5466784490812009
2024-09-25,428.89007568359375,429.89255926301774,425.3764761475162,426.6270665374025,13396400.0,429.1421936035157,,426.3747452019932,412.1125080561719,74.38553385556442,-0.2508978453064092,-0.2671953596829871,-0.1928529483317203,-0.2064964357472955,-0.9795912330397144
2024-09-26,428.0960388183594,432.05629715674354,425.9322906223112,431.847870478453,14492000.0,429.5699798583984,,426.6877076776961,412.73931318410087,73.30178959204268,-0.1334790927625285,-0.2177892798592188,-0.1803723987441964,-0.224599361242749,-0.8485476219149569
2024-09-27,424.8305358886719,428.6320130497984,424.2846464096371,428.30445513024,14896100.0,429.314892578125,,426.35004007969167,413.21347878035857,69.15806779328648,-0.2131724531395693,-0.2959782575619095,-0.2173694656278186,-0.2990482424340133,-0.800213628436028
2024-09-30,427.0935668945313,427.2126981469716,422.20031052363777,425.01914436125503,16807300.0,429.2116668701172,,426.4852267732989,413.75779596130656,65.4807693995555,-0.2870608995491419,-0.3283864275105246,-0.264172236267905,-0.2474543133777318,-0.5716169238160603
2024-10-01,417.5552062988281,425.28716713975047,415.6892103822864,425.257391898111,19092900.0,427.7764465332031,,424.8615866870314,413.9067140137584,47.77335153422515,-0.2817025813877725,-0.3723533695887522,-0.4103758921072787,-0.4649155406493608,-0.2982386127657264
2024-10-02,414.021728515625,419.66933146547984,413.6048448503053,419.4310992466512,16582300.0,426.4186401367188,,422.89070338313934,413.91122438638064,40.57665549098998,-0.4127391081017679,-0.5006291827381434,-0.4571793284337798,-0.5454738721951959,-0.5985289469112323
2024-10-03,413.4361267089844,416.4236768512481,411.2028927674364,414.5180008502912,13686400.0,424.2201446533203,,421.1716894423839,413.8925931049141,35.77071418638175,-0.5232373936799574,-0.5747393933214574,-0.5111140196599454,-0.5588247710511187,-0.944904625494826
