Price,Open,High,Low,Close,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2023-01-02,1417.846763951259,1429.552896414529,1408.5287282375762,1427.211669921875,3801140
2023-01-03,1423.32528849572,1435.3124145171728,1418.876957917731,1425.8538818359375,4551130
2023-01-04,1424.4020950067627,1424.4020950067627,1396.4010053183051,1399.8660888671875,7059590
2023-01-05,1410.2611937869729,1410.2611937869729,1375.938791008204,1381.5108642578125,9868404
2023-01-06,1376.6411390689723,1381.3235919229485,1354.6336106552847,1356.506591796875,6443714
2023-01-09,1356.2255576840662,1394.7621663647355,1356.2255576840662,1390.17333984375,11498717
2023-01-10,1387.8791147184363,1389.6584697803341,1361.7042473170561,1376.4071044921875,7158624
2023-01-11,1376.6410323850362,1399.1168043423427,1371.0220893957094,1377.8116455078125,6173092
2023-01-12,1387.8321104596064,1390.6884523345761,1362.5937361257968,1386.56787109375,6591385
2023-01-13,1389.2837450958568,1422.903779047324,1374.768141422796,1408.154052734375,11610426
2023-01-16,1414.1008503231521,1430.9576816515075,1406.889918204215,1428.616455078125,6073063
2023-01-17,1430.0211622901613,1444.2557738432447,1427.21169045855,1441.727294921875,5922644
2023-01-18,1446.6439437557135,1453.2930045630997,1441.8209940041047,1447.252685546875,5843098
2023-01-19,1442.102018021819,1451.1391759287255,1429.2252711983717,1441.16552734375,6165284
2023-01-20,1440.3224696586608,1446.8779035257678,1427.2116019244468,1428.6632080078125,6496429
2023-01-23,1437.513121770026,1454.6509460823788,1431.051313538268,1449.6875,4855020
2023-01-24,1460.9253950530808,1469.1665583932827,1451.326366015072,1453.33984375,5200802
2023-01-25,1448.7508449195966,1457.1792596605637,1441.02479807371,1445.0048828125,4158617
2023-01-27,1447.81455099958,1452.450134009527,1411.6660346208291,1422.6697998046875,6209955
2023-01-30,1431.7069926445865,1445.9416052071062,1423.4658289603638,1441.0718994140625,6964719
2023-01-31,1450.5303854571384,1450.5303854571384,1416.9103483789222,1436.342529296875,9448126
